[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080456_Crosbee_Mark_80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,896765,0.896765,[0]
1,7494806,7.494806,[1]
2,47055,0.047055,[0]
3,20691,0.020691,[1]
4,15621,0.015621,[0]
5,17825,0.017825,[1]
6,18796,0.018796,[0]
7,18880,0.01888,[1]
8,19988,0.019988,[0]
9,22587,0.022587,[1]
10,22009,0.022009,[0]
11,24173,0.024173,[1]
12,27478,0.027478,[0]
13,26042,0.026042,[1]
14,25248,0.025248,[0]
15,25555,0.025555,[1]
16,27350,0.02735,[0]
17,29029,0.029029,[1]
18,29394,0.029394,[0]
19,29276,0.029276,[1]
20,28750,0.02875,[0]
21,28728,0.028728,[1]
22,26530,0.02653,[0]
23,24988,0.024988,[1]
24,23688,0.023688,[0]
25,22823,0.022823,[1]
26,20296,0.020296,[0]
27,18680,0.01868,[1]
28,17885,0.017885,[0]
29,17099,0.017099,[1]
30,15602,0.015602,[0]
31,14920,0.01492,[1]
32,14272,0.014272,[0]
33,14047,0.014047,[1]
34,13657,0.013657,[0]
35,13661,0.013661,[1]
36,14096,0.014096,[0]
37,14166,0.014166,[1]
38,13849,0.013849,[0]
39,14421,0.014421,[1]
40,14395,0.014395,[0]
41,15144,0.015144,[1]
42,14698,0.014698,[0]
43,14962,0.014962,[1]
44,15107,0.015107,[0]
45,14876,0.014876,[1]
46,14712,0.014712,[0]
47,15056,0.015056,[1]
48,14146,0.014146,[0]
49,13631,0.013631,[1]
50,13522,0.013522,[0]
51,13372,0.013372,[1]
52,13138,0.013138,[0]
53,13177,0.013177,[1]
54,13132,0.013132,[0]
55,12837,0.012837,[1]
56,13094,0.013094,[0]
57,12499,0.012499,[1]
58,12500,0.0125,[0]
59,12369,0.012369,[1]
60,12556,0.012556,[0]
61,12300,0.0123,[1]
62,12560,0.01256,[0]
63,12193,0.012193,[1]
64,12412,0.012412,[0]
65,12194,0.012194,[1]
66,12350,0.01235,[0]
67,11906,0.011906,[1]
68,11520,0.01152,[0]
69,12748,0.012748,[1]
70,13705,0.013705,[0]
71,12771,0.012771,[1]
72,11297,0.011297,[0]
73,10540,0.01054,[1]
74,10186,0.010186,[0]
75,10369,0.010369,[1]
76,10954,0.010954,[0]
77,10643,0.010643,[1]
78,10614,0.010614,[0]
79,10447,0.010447,[1]
80,10815,0.010815,[0]
81,11233,0.011233,[1]
82,10986,0.010986,[0]
83,10962,0.010962,[1]
84,10959,0.010959,[0]
85,11315,0.011315,[1]
86,11461,0.011461,[0]
87,11575,0.011575,[1]
88,11616,0.011616,[0]
89,11546,0.011546,[1]
90,11388,0.011388,[0]
91,11558,0.011558,[1]
92,11599,0.011599,[0]
93,12150,0.01215,[1]
94,11869,0.011869,[0]
95,12210,0.01221,[1]
96,12569,0.012569,[0]
97,12347,0.012347,[1]
98,12020,0.01202,[0]
99,12083,0.012083,[1]
100,11830,0.01183,[0]
101,11672,0.011672,[1]
102,11592,0.011592,[0]
103,11668,0.011668,[1]
