[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080132_Crosbee_Mark_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,9839,0.009839,[0]
195,9818,0.009818,[1]
196,9586,0.009586,[0]
197,9687,0.009687,[1]
198,9413,0.009413,[0]
199,9256,0.009256,[1]
200,9449,0.009449,[0]
201,9488,0.009488,[1]
202,9590,0.00959,[0]
203,9982,0.009982,[1]
204,10103,0.010103,[0]
205,10264,0.010264,[1]
206,10368,0.010368,[0]
207,10475,0.010475,[1]
208,10150,0.01015,[0]
209,10268,0.010268,[1]
210,9877,0.009877,[0]
211,10288,0.010288,[1]
212,10167,0.010167,[0]
213,10282,0.010282,[1]
214,10676,0.010676,[0]
215,11047,0.011047,[1]
216,11207,0.011207,[0]
217,10918,0.010918,[1]
218,10774,0.010774,[0]
219,10936,0.010936,[1]
220,10983,0.010983,[0]
221,10834,0.010834,[1]
222,10830,0.01083,[0]
223,11063,0.011063,[1]
224,10965,0.010965,[0]
225,11348,0.011348,[1]
226,11198,0.011198,[0]
227,10897,0.010897,[1]
228,10680,0.01068,[0]
229,10668,0.010668,[1]
230,11171,0.011171,[0]
231,11873,0.011873,[1]
232,11637,0.011637,[0]
233,11758,0.011758,[1]
234,11817,0.011817,[0]
235,11546,0.011546,[1]
236,11012,0.011012,[0]
237,11239,0.011239,[1]
238,11588,0.011588,[0]
239,11530,0.01153,[1]
240,11285,0.011285,[0]
241,11652,0.011652,[1]
242,11839,0.011839,[0]
243,11765,0.011765,[1]
244,11759,0.011759,[0]
245,11869,0.011869,[1]
246,12294,0.012294,[0]
247,11883,0.011883,[1]
248,12410,0.01241,[0]
249,11688,0.011688,[1]
250,11115,0.011115,[0]
251,10741,0.010741,[1]
252,10831,0.010831,[0]
253,10590,0.01059,[1]
254,10759,0.010759,[0]
255,11126,0.011126,[1]
256,11655,0.011655,[0]
257,12016,0.012016,[1]
258,11508,0.011508,[0]
259,11036,0.011036,[1]
260,10909,0.010909,[0]
261,10828,0.010828,[1]
262,10813,0.010813,[0]
263,11686,0.011686,[1]
264,11880,0.01188,[0]
265,11323,0.011323,[1]
266,11400,0.0114,[0]
267,11478,0.011478,[1]
268,11742,0.011742,[0]
269,11379,0.011379,[1]
270,11196,0.011196,[0]
271,11129,0.011129,[1]
272,11051,0.011051,[0]
273,10450,0.01045,[1]
274,10482,0.010482,[0]
275,10547,0.010547,[1]
276,10672,0.010672,[0]
277,10353,0.010353,[1]
278,10338,0.010338,[0]
279,10211,0.010211,[1]
280,9961,0.009961,[0]
281,9801,0.009801,[1]
282,9649,0.009649,[0]
283,9761,0.009761,[1]
284,9623,0.009623,[0]
285,9624,0.009624,[1]
286,9838,0.009838,[0]
287,9723,0.009723,[1]
288,9406,0.009406,[0]
289,9664,0.009664,[1]
290,9800,0.0098,[0]
291,9577,0.009577,[1]
292,9313,0.009313,[0]
293,9398,0.009398,[1]
294,9696,0.009696,[0]
295,9423,0.009423,[1]
296,9652,0.009652,[0]
297,9656,0.009656,[1]
298,9562,0.009562,[0]
299,9331,0.009331,[1]
300,9608,0.009608,[0]
301,9644,0.009644,[1]
302,9931,0.009931,[0]
303,10218,0.010218,[1]
304,10278,0.010278,[0]
305,10353,0.010353,[1]
306,10214,0.010214,[0]
307,9764,0.009764,[1]
308,9859,0.009859,[0]
309,9740,0.00974,[1]
310,9870,0.00987,[0]
311,10322,0.010322,[1]
312,10853,0.010853,[0]
313,10890,0.01089,[1]
314,10890,0.01089,[0]
315,10742,0.010742,[1]
316,10759,0.010759,[0]
317,10303,0.010303,[1]
318,10259,0.010259,[0]
319,10445,0.010445,[1]
320,10753,0.010753,[0]
321,11386,0.011386,[1]
322,11943,0.011943,[0]
323,11807,0.011807,[1]
324,11310,0.01131,[0]
325,10774,0.010774,[1]
326,10498,0.010498,[0]
327,10852,0.010852,[1]
