[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_081221_Crosbee_Mark_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
104,10697,0.010697,[0]
105,10538,0.010538,[1]
106,11169,0.011169,[0]
107,11419,0.011419,[1]
108,11591,0.011591,[0]
109,11589,0.011589,[1]
110,11383,0.011383,[0]
111,11228,0.011228,[1]
112,10769,0.010769,[0]
113,10767,0.010767,[1]
114,10937,0.010937,[0]
115,10568,0.010568,[1]
116,10448,0.010448,[0]
117,10509,0.010509,[1]
118,10482,0.010482,[0]
119,10264,0.010264,[1]
120,9867,0.009867,[0]
121,9879,0.009879,[1]
122,9748,0.009748,[0]
123,10051,0.010051,[1]
124,9993,0.009993,[0]
125,9930,0.00993,[1]
126,9588,0.009588,[0]
127,9409,0.009409,[1]
128,9652,0.009652,[0]
129,9627,0.009627,[1]
130,9212,0.009212,[0]
131,8847,0.008847,[1]
132,8750,0.00875,[0]
133,8744,0.008744,[1]
134,9053,0.009053,[0]
135,9066,0.009066,[1]
136,9009,0.009009,[0]
137,8784,0.008784,[1]
138,8469,0.008469,[0]
139,8558,0.008558,[1]
140,8697,0.008697,[0]
141,9154,0.009154,[1]
142,8972,0.008972,[0]
143,9093,0.009093,[1]
144,9203,0.009203,[0]
145,9100,0.0091,[1]
146,9061,0.009061,[0]
147,9086,0.009086,[1]
148,9547,0.009547,[0]
149,9769,0.009769,[1]
150,9563,0.009563,[0]
151,9536,0.009536,[1]
152,9630,0.00963,[0]
153,10392,0.010392,[1]
154,10112,0.010112,[0]
155,9744,0.009744,[1]
156,9609,0.009609,[0]
157,9558,0.009558,[1]
158,9324,0.009324,[0]
159,9233,0.009233,[1]
160,9248,0.009248,[0]
161,9176,0.009176,[1]
162,9367,0.009367,[0]
163,9190,0.00919,[1]
164,8955,0.008955,[0]
165,8755,0.008755,[1]
166,8445,0.008445,[0]
167,8390,0.00839,[1]
168,8401,0.008401,[0]
169,8444,0.008444,[1]
170,8372,0.008372,[0]
171,8418,0.008418,[1]
172,8868,0.008868,[0]
173,8654,0.008654,[1]
174,8398,0.008398,[0]
175,8289,0.008289,[1]
176,8205,0.008205,[0]
177,7948,0.007948,[1]
178,8015,0.008015,[0]
179,8100,0.0081,[1]
180,8065,0.008065,[0]
181,7996,0.007996,[1]
182,8009,0.008009,[0]
183,7908,0.007908,[1]
184,7886,0.007886,[0]
185,7778,0.007778,[1]
186,7946,0.007946,[0]
187,8178,0.008178,[1]
188,8026,0.008026,[0]
189,7956,0.007956,[1]
190,8253,0.008253,[0]
191,8033,0.008033,[1]
192,7878,0.007878,[0]
193,7800,0.0078,[1]
194,7882,0.007882,[0]
195,7952,0.007952,[1]
196,7922,0.007922,[0]
197,7901,0.007901,[1]
198,8447,0.008447,[0]
199,8327,0.008327,[1]
200,8161,0.008161,[0]
201,8528,0.008528,[1]
202,8817,0.008817,[0]
203,8946,0.008946,[1]
204,8957,0.008957,[0]
205,8916,0.008916,[1]
206,8989,0.008989,[0]
207,9488,0.009488,[1]
208,9839,0.009839,[0]
209,9561,0.009561,[1]
210,9749,0.009749,[0]
211,9456,0.009456,[1]
212,9046,0.009046,[0]
213,8994,0.008994,[1]
214,8869,0.008869,[0]
215,8632,0.008632,[1]
216,8287,0.008287,[0]
217,7984,0.007984,[1]
218,8188,0.008188,[0]
219,8178,0.008178,[1]
220,7839,0.007839,[0]
221,7941,0.007941,[1]
222,8175,0.008175,[0]
223,7837,0.007837,[1]
224,7502,0.007502,[0]
225,7286,0.007286,[1]
226,7271,0.007271,[0]
227,7104,0.007104,[1]
228,6988,0.006988,[0]
229,7114,0.007114,[1]
230,6950,0.00695,[0]
231,7188,0.007188,[1]
232,7311,0.007311,[0]
233,7294,0.007294,[1]
234,7320,0.00732,[0]
235,7499,0.007499,[1]
236,7527,0.007527,[0]
237,7543,0.007543,[1]
238,7333,0.007333,[0]
239,7222,0.007222,[1]
240,7372,0.007372,[0]
241,7370,0.00737,[1]
242,7275,0.007275,[0]
243,7352,0.007352,[1]
244,7563,0.007563,[0]
245,7675,0.007675,[1]
246,7622,0.007622,[0]
247,7818,0.007818,[1]
248,7807,0.007807,[0]
249,7772,0.007772,[1]
250,7660,0.00766,[0]
251,8054,0.008054,[1]
252,8209,0.008209,[0]
253,8193,0.008193,[1]
254,8421,0.008421,[0]
255,8697,0.008697,[1]
256,8816,0.008816,[0]
257,8769,0.008769,[1]
258,8810,0.00881,[0]
259,8753,0.008753,[1]
260,9004,0.009004,[0]
261,8887,0.008887,[1]
262,8832,0.008832,[0]
263,8713,0.008713,[1]
264,8629,0.008629,[0]
265,8427,0.008427,[1]
266,8328,0.008328,[0]
267,8223,0.008223,[1]
268,8156,0.008156,[0]
269,7937,0.007937,[1]
270,7950,0.00795,[0]
271,8118,0.008118,[1]
272,8132,0.008132,[0]
273,8119,0.008119,[1]
274,8032,0.008032,[0]
275,7952,0.007952,[1]
276,7744,0.007744,[0]
277,7646,0.007646,[1]
278,7578,0.007578,[0]
279,7633,0.007633,[1]
280,7605,0.007605,[0]
281,7948,0.007948,[1]
282,8168,0.008168,[0]
283,8125,0.008125,[1]
284,7902,0.007902,[0]
285,7744,0.007744,[1]
286,7597,0.007597,[0]
287,7443,0.007443,[1]
288,7633,0.007633,[0]
289,7796,0.007796,[1]
290,7720,0.00772,[0]
291,7709,0.007709,[1]
292,7669,0.007669,[0]
293,7489,0.007489,[1]
294,7736,0.007736,[0]
295,7787,0.007787,[1]
296,7582,0.007582,[0]
297,7469,0.007469,[1]
298,7535,0.007535,[0]
299,7553,0.007553,[1]
300,7623,0.007623,[0]
301,7724,0.007724,[1]
302,8024,0.008024,[0]
303,8000,0.008,[1]
304,8184,0.008184,[0]
305,8416,0.008416,[1]
306,8503,0.008503,[0]
307,8573,0.008573,[1]
308,8415,0.008415,[0]
309,8516,0.008516,[1]
310,8604,0.008604,[0]
311,8632,0.008632,[1]
312,8673,0.008673,[0]
313,8706,0.008706,[1]
314,8798,0.008798,[0]
315,8804,0.008804,[1]
316,8461,0.008461,[0]
317,8437,0.008437,[1]
318,8574,0.008574,[0]
319,8356,0.008356,[1]
320,8219,0.008219,[0]
321,8046,0.008046,[1]
322,7976,0.007976,[0]
323,7889,0.007889,[1]
324,7708,0.007708,[0]
325,7597,0.007597,[1]
326,7508,0.007508,[0]
327,7541,0.007541,[1]
328,7651,0.007651,[0]
329,7794,0.007794,[1]
330,7736,0.007736,[0]
331,7595,0.007595,[1]
332,7599,0.007599,[0]
333,7648,0.007648,[1]
334,7303,0.007303,[0]
335,7076,0.007076,[1]
336,7038,0.007038,[0]
337,7122,0.007122,[1]
338,7157,0.007157,[0]
339,7013,0.007013,[1]
340,7269,0.007269,[0]
341,7228,0.007228,[1]
342,7140,0.00714,[0]
343,7112,0.007112,[1]
344,7421,0.007421,[0]
345,7580,0.00758,[1]
346,7239,0.007239,[0]
347,7129,0.007129,[1]
348,7258,0.007258,[0]
349,7084,0.007084,[1]
350,6948,0.006948,[0]
351,7101,0.007101,[1]
352,7112,0.007112,[0]
