[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_080849_Crosbee_Mark_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,10022,0.010022,[0]
195,10148,0.010148,[1]
196,10210,0.01021,[0]
197,10355,0.010355,[1]
198,10247,0.010247,[0]
199,10700,0.0107,[1]
200,10631,0.010631,[0]
201,10708,0.010708,[1]
202,10945,0.010945,[0]
203,10873,0.010873,[1]
204,10658,0.010658,[0]
205,10440,0.01044,[1]
206,10375,0.010375,[0]
207,10308,0.010308,[1]
208,10960,0.01096,[0]
209,10658,0.010658,[1]
210,10651,0.010651,[0]
211,10714,0.010714,[1]
212,10223,0.010223,[0]
213,9608,0.009608,[1]
214,9194,0.009194,[0]
215,8989,0.008989,[1]
216,8911,0.008911,[0]
217,9151,0.009151,[1]
218,9492,0.009492,[0]
219,9552,0.009552,[1]
220,9639,0.009639,[0]
221,9256,0.009256,[1]
222,9080,0.00908,[0]
223,9504,0.009504,[1]
224,9443,0.009443,[0]
225,9220,0.00922,[1]
226,9170,0.00917,[0]
227,9291,0.009291,[1]
228,9040,0.00904,[0]
229,8850,0.00885,[1]
230,8994,0.008994,[0]
231,9210,0.00921,[1]
232,9377,0.009377,[0]
233,9089,0.009089,[1]
234,8934,0.008934,[0]
235,9137,0.009137,[1]
236,9243,0.009243,[0]
237,9230,0.00923,[1]
238,9179,0.009179,[0]
239,8979,0.008979,[1]
240,8715,0.008715,[0]
241,8511,0.008511,[1]
242,8223,0.008223,[0]
243,8722,0.008722,[1]
244,8741,0.008741,[0]
245,8880,0.00888,[1]
246,8714,0.008714,[0]
247,8734,0.008734,[1]
248,8562,0.008562,[0]
249,8368,0.008368,[1]
250,8108,0.008108,[0]
251,8234,0.008234,[1]
252,8454,0.008454,[0]
253,8559,0.008559,[1]
254,8675,0.008675,[0]
255,8645,0.008645,[1]
256,8511,0.008511,[0]
257,8600,0.0086,[1]
258,8365,0.008365,[0]
259,8468,0.008468,[1]
260,8694,0.008694,[0]
261,8506,0.008506,[1]
262,8633,0.008633,[0]
263,8960,0.00896,[1]
264,8766,0.008766,[0]
265,9018,0.009018,[1]
266,9046,0.009046,[0]
267,9044,0.009044,[1]
268,9199,0.009199,[0]
269,9341,0.009341,[1]
270,9619,0.009619,[0]
271,9803,0.009803,[1]
272,9559,0.009559,[0]
273,9431,0.009431,[1]
274,9558,0.009558,[0]
275,9767,0.009767,[1]
276,9710,0.00971,[0]
277,9964,0.009964,[1]
278,10079,0.010079,[0]
279,10062,0.010062,[1]
280,9785,0.009785,[0]
281,9852,0.009852,[1]
282,10378,0.010378,[0]
283,10569,0.010569,[1]
284,10523,0.010523,[0]
285,10532,0.010532,[1]
286,10393,0.010393,[0]
287,10201,0.010201,[1]
288,10163,0.010163,[0]
289,10389,0.010389,[1]
290,10495,0.010495,[0]
291,10137,0.010137,[1]
292,10209,0.010209,[0]
293,11529,0.011529,[1]
294,11419,0.011419,[0]
295,10954,0.010954,[1]
296,10382,0.010382,[0]
297,10317,0.010317,[1]
298,10134,0.010134,[0]
299,9385,0.009385,[1]
300,9697,0.009697,[0]
301,9683,0.009683,[1]
302,9473,0.009473,[0]
303,9157,0.009157,[1]
304,9303,0.009303,[0]
305,9433,0.009433,[1]
306,9112,0.009112,[0]
307,9545,0.009545,[1]
308,9648,0.009648,[0]
309,9365,0.009365,[1]
310,9061,0.009061,[0]
311,9131,0.009131,[1]
312,9093,0.009093,[0]
313,8997,0.008997,[1]
314,8754,0.008754,[0]
315,9063,0.009063,[1]
316,9048,0.009048,[0]
317,9116,0.009116,[1]
318,8863,0.008863,[0]
319,8973,0.008973,[1]
320,9036,0.009036,[0]
321,8670,0.00867,[1]
322,8584,0.008584,[0]
323,8527,0.008527,[1]
324,8397,0.008397,[0]
325,8132,0.008132,[1]
326,8392,0.008392,[0]
327,8477,0.008477,[1]
328,8754,0.008754,[0]
329,8481,0.008481,[1]
330,8491,0.008491,[0]
331,8270,0.00827,[1]
332,8144,0.008144,[0]
333,8054,0.008054,[1]
334,8329,0.008329,[0]
335,8142,0.008142,[1]
336,7841,0.007841,[0]
337,7895,0.007895,[1]
338,7914,0.007914,[0]
339,8098,0.008098,[1]
340,7815,0.007815,[0]
341,8325,0.008325,[1]
342,8363,0.008363,[0]
343,8236,0.008236,[1]
344,8141,0.008141,[0]
345,8277,0.008277,[1]
346,8264,0.008264,[0]
347,8286,0.008286,[1]
348,8744,0.008744,[0]
349,8868,0.008868,[1]
350,9065,0.009065,[0]
351,8797,0.008797,[1]
352,8573,0.008573,[0]
353,8854,0.008854,[1]
354,8980,0.00898,[0]
355,8933,0.008933,[1]
356,9041,0.009041,[0]
357,9282,0.009282,[1]
358,8965,0.008965,[0]
359,8691,0.008691,[1]
360,8935,0.008935,[0]
361,9166,0.009166,[1]
362,9819,0.009819,[0]
363,10000,0.01,[1]
364,10134,0.010134,[0]
365,10195,0.010195,[1]
366,9855,0.009855,[0]
367,10265,0.010265,[1]
368,10168,0.010168,[0]
369,9802,0.009802,[1]
370,9600,0.0096,[0]
371,10188,0.010188,[1]
372,10564,0.010564,[0]
373,10816,0.010816,[1]
374,10803,0.010803,[0]
375,10571,0.010571,[1]
376,10603,0.010603,[0]
377,10335,0.010335,[1]
378,10616,0.010616,[0]
379,10814,0.010814,[1]
380,10812,0.010812,[0]
381,10875,0.010875,[1]
382,10900,0.0109,[0]
383,11001,0.011001,[1]
384,10475,0.010475,[0]
385,9849,0.009849,[1]
386,10044,0.010044,[0]
387,9991,0.009991,[1]
388,9701,0.009701,[0]
389,9600,0.0096,[1]
390,9908,0.009908,[0]
391,9948,0.009948,[1]
392,10066,0.010066,[0]
