[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,O'Callaghan,Georgie,CSLX Tests
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_080743_O'Callaghan_Georgie_70SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,19736,0.019736,[0]
1,22234,0.022234,[1]
2,21714,0.021714,[0]
3,20524,0.020524,[1]
4,20573,0.020573,[0]
5,21112,0.021112,[1]
6,21601,0.021601,[0]
7,22212,0.022212,[1]
8,21498,0.021498,[0]
9,21248,0.021248,[1]
10,22152,0.022152,[0]
11,23920,0.02392,[1]
12,23035,0.023035,[0]
13,22444,0.022444,[1]
14,22814,0.022814,[0]
15,22399,0.022399,[1]
16,23094,0.023094,[0]
17,23852,0.023852,[1]
18,24526,0.024526,[0]
19,22796,0.022796,[1]
20,22638,0.022638,[0]
21,22770,0.02277,[1]
22,21116,0.021116,[0]
23,19760,0.01976,[1]
24,19149,0.019149,[0]
25,18869,0.018869,[1]
26,19027,0.019027,[0]
27,19132,0.019132,[1]
28,19128,0.019128,[0]
29,17651,0.017651,[1]
30,17196,0.017196,[0]
31,16959,0.016959,[1]
32,16443,0.016443,[0]
33,15863,0.015863,[1]
34,15288,0.015288,[0]
35,14595,0.014595,[1]
36,14493,0.014493,[0]
37,15191,0.015191,[1]
38,15514,0.015514,[0]
39,14961,0.014961,[1]
40,15104,0.015104,[0]
41,15046,0.015046,[1]
42,14782,0.014782,[0]
43,14441,0.014441,[1]
44,14819,0.014819,[0]
45,15075,0.015075,[1]
46,14948,0.014948,[0]
47,15212,0.015212,[1]
48,15371,0.015371,[0]
49,14889,0.014889,[1]
50,15248,0.015248,[0]
51,15473,0.015473,[1]
52,15541,0.015541,[0]
53,15315,0.015315,[1]
54,15039,0.015039,[0]
55,15669,0.015669,[1]
56,15581,0.015581,[0]
57,15867,0.015867,[1]
58,16961,0.016961,[0]
59,17068,0.017068,[1]
60,16214,0.016214,[0]
61,16744,0.016744,[1]
62,16775,0.016775,[0]
63,16611,0.016611,[1]
64,16368,0.016368,[0]
65,16729,0.016729,[1]
66,16563,0.016563,[0]
67,16020,0.01602,[1]
68,15925,0.015925,[0]
69,15651,0.015651,[1]
70,14790,0.01479,[0]
71,14626,0.014626,[1]
72,14693,0.014693,[0]
73,14548,0.014548,[1]
74,14817,0.014817,[0]
75,14538,0.014538,[1]
76,13830,0.01383,[0]
77,13602,0.013602,[1]
78,13559,0.013559,[0]
79,13340,0.01334,[1]
80,12755,0.012755,[0]
81,12570,0.01257,[1]
82,12751,0.012751,[0]
83,13148,0.013148,[1]
84,12684,0.012684,[0]
85,12383,0.012383,[1]
86,12319,0.012319,[0]
87,12243,0.012243,[1]
88,12659,0.012659,[0]
89,12625,0.012625,[1]
90,12424,0.012424,[0]
91,12191,0.012191,[1]
92,12315,0.012315,[0]
93,12570,0.01257,[1]
94,12191,0.012191,[0]
95,11768,0.011768,[1]
96,12078,0.012078,[0]
97,12309,0.012309,[1]
98,12240,0.01224,[0]
99,12395,0.012395,[1]
100,12432,0.012432,[0]
101,12306,0.012306,[1]
102,12304,0.012304,[0]
103,12760,0.01276,[1]
