[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,O'Callaghan,Georgie,CSLX Tests
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_082553_O'Callaghan_Georgie_90SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,11437,0.011437,[0]
195,11234,0.011234,[1]
196,10854,0.010854,[0]
197,10754,0.010754,[1]
198,10467,0.010467,[0]
199,10418,0.010418,[1]
200,10877,0.010877,[0]
201,11113,0.011113,[1]
202,10796,0.010796,[0]
203,10715,0.010715,[1]
204,10656,0.010656,[0]
205,10545,0.010545,[1]
206,10376,0.010376,[0]
207,10603,0.010603,[1]
208,10816,0.010816,[0]
209,10603,0.010603,[1]
210,10421,0.010421,[0]
211,10093,0.010093,[1]
212,9737,0.009737,[0]
213,9703,0.009703,[1]
214,9593,0.009593,[0]
215,9912,0.009912,[1]
216,9814,0.009814,[0]
217,9648,0.009648,[1]
218,9584,0.009584,[0]
219,9568,0.009568,[1]
220,9677,0.009677,[0]
221,9854,0.009854,[1]
222,9876,0.009876,[0]
223,10094,0.010094,[1]
224,10356,0.010356,[0]
225,10688,0.010688,[1]
226,10730,0.01073,[0]
227,10601,0.010601,[1]
228,10462,0.010462,[0]
229,10407,0.010407,[1]
230,10290,0.01029,[0]
231,10300,0.0103,[1]
232,10400,0.0104,[0]
233,10424,0.010424,[1]
234,10779,0.010779,[0]
235,11044,0.011044,[1]
236,10861,0.010861,[0]
237,10906,0.010906,[1]
238,10859,0.010859,[0]
239,11145,0.011145,[1]
240,11199,0.011199,[0]
241,11301,0.011301,[1]
242,11526,0.011526,[0]
243,11212,0.011212,[1]
244,11430,0.01143,[0]
245,11346,0.011346,[1]
246,11008,0.011008,[0]
247,11013,0.011013,[1]
248,11474,0.011474,[0]
249,11690,0.01169,[1]
250,11982,0.011982,[0]
251,12223,0.012223,[1]
252,12241,0.012241,[0]
253,11896,0.011896,[1]
254,11922,0.011922,[0]
255,11689,0.011689,[1]
256,11327,0.011327,[0]
257,11280,0.01128,[1]
258,11150,0.01115,[0]
259,11129,0.011129,[1]
260,11347,0.011347,[0]
261,12024,0.012024,[1]
262,11872,0.011872,[0]
263,11342,0.011342,[1]
264,11534,0.011534,[0]
265,11433,0.011433,[1]
266,10920,0.01092,[0]
267,10756,0.010756,[1]
268,10714,0.010714,[0]
269,10307,0.010307,[1]
270,10182,0.010182,[0]
271,10419,0.010419,[1]
272,10157,0.010157,[0]
273,9796,0.009796,[1]
274,9679,0.009679,[0]
275,9707,0.009707,[1]
276,9411,0.009411,[0]
277,9673,0.009673,[1]
278,9786,0.009786,[0]
279,9544,0.009544,[1]
280,10104,0.010104,[0]
281,9954,0.009954,[1]
282,9715,0.009715,[0]
283,9755,0.009755,[1]
284,9679,0.009679,[0]
285,9902,0.009902,[1]
286,9607,0.009607,[0]
287,9499,0.009499,[1]
288,9542,0.009542,[0]
289,9671,0.009671,[1]
290,10053,0.010053,[0]
291,10320,0.01032,[1]
292,10098,0.010098,[0]
293,10118,0.010118,[1]
294,10157,0.010157,[0]
295,10218,0.010218,[1]
296,10112,0.010112,[0]
297,10091,0.010091,[1]
298,9903,0.009903,[0]
299,9998,0.009998,[1]
300,10199,0.010199,[0]
301,10354,0.010354,[1]
302,10299,0.010299,[0]
303,10420,0.01042,[1]
304,10368,0.010368,[0]
305,10437,0.010437,[1]
306,10374,0.010374,[0]
307,10394,0.010394,[1]
308,10297,0.010297,[0]
309,10310,0.01031,[1]
310,10435,0.010435,[0]
311,10218,0.010218,[1]
312,10094,0.010094,[0]
313,10003,0.010003,[1]
314,10069,0.010069,[0]
315,10503,0.010503,[1]
316,11030,0.01103,[0]
317,11140,0.01114,[1]
318,11331,0.011331,[0]
319,11125,0.011125,[1]
320,11107,0.011107,[0]
321,10871,0.010871,[1]
322,10759,0.010759,[0]
323,10764,0.010764,[1]
324,10855,0.010855,[0]
325,10820,0.01082,[1]
326,10740,0.01074,[0]
327,10592,0.010592,[1]
328,10311,0.010311,[0]
329,10105,0.010105,[1]
330,10130,0.01013,[0]
331,9921,0.009921,[1]
332,9817,0.009817,[0]
333,9838,0.009838,[1]
334,9956,0.009956,[0]
335,9975,0.009975,[1]
336,9811,0.009811,[0]
337,9654,0.009654,[1]
338,9510,0.00951,[0]
339,9419,0.009419,[1]
340,9447,0.009447,[0]
341,9350,0.00935,[1]
342,9310,0.00931,[0]
343,9340,0.00934,[1]
344,9244,0.009244,[0]
345,9176,0.009176,[1]
346,9289,0.009289,[0]
347,9399,0.009399,[1]
348,9323,0.009323,[0]
349,9206,0.009206,[1]
350,9270,0.00927,[0]
351,9304,0.009304,[1]
352,9429,0.009429,[0]
353,9552,0.009552,[1]
354,9647,0.009647,[0]
355,9672,0.009672,[1]
356,9674,0.009674,[0]
357,9737,0.009737,[1]
358,9675,0.009675,[0]
359,10080,0.01008,[1]
360,10160,0.01016,[0]
361,10084,0.010084,[1]
362,10021,0.010021,[0]
363,9947,0.009947,[1]
364,9989,0.009989,[0]
365,10051,0.010051,[1]
366,10325,0.010325,[0]
367,10245,0.010245,[1]
368,10257,0.010257,[0]
369,10412,0.010412,[1]
370,10500,0.0105,[0]
371,10503,0.010503,[1]
372,10764,0.010764,[0]
373,10751,0.010751,[1]
374,10666,0.010666,[0]
375,11010,0.01101,[1]
376,10768,0.010768,[0]
377,10627,0.010627,[1]
378,11076,0.011076,[0]
379,11488,0.011488,[1]
380,11738,0.011738,[0]
381,11693,0.011693,[1]
382,11608,0.011608,[0]
383,11373,0.011373,[1]
384,11197,0.011197,[0]
385,11011,0.011011,[1]
386,10536,0.010536,[0]
387,10456,0.010456,[1]
388,10468,0.010468,[0]
389,10733,0.010733,[1]
390,10623,0.010623,[0]
391,10383,0.010383,[1]
392,10485,0.010485,[0]
393,10438,0.010438,[1]
394,10222,0.010222,[0]
395,10183,0.010183,[1]
396,9940,0.00994,[0]
397,9478,0.009478,[1]
398,9335,0.009335,[0]
399,9479,0.009479,[1]
400,9686,0.009686,[0]
401,9571,0.009571,[1]
402,9388,0.009388,[0]
403,9208,0.009208,[1]
404,9154,0.009154,[0]
405,9208,0.009208,[1]
406,9279,0.009279,[0]
407,9099,0.009099,[1]
408,9174,0.009174,[0]
409,9180,0.00918,[1]
410,9223,0.009223,[0]
411,9192,0.009192,[1]
412,9452,0.009452,[0]
413,9379,0.009379,[1]
414,9319,0.009319,[0]
415,9272,0.009272,[1]
416,9311,0.009311,[0]
417,9153,0.009153,[1]
418,9118,0.009118,[0]
419,9063,0.009063,[1]
420,9014,0.009014,[0]
421,9223,0.009223,[1]
422,9211,0.009211,[0]
423,9096,0.009096,[1]
424,8956,0.008956,[0]
425,8964,0.008964,[1]
426,8828,0.008828,[0]
427,8745,0.008745,[1]
428,9074,0.009074,[0]
429,9426,0.009426,[1]
430,9465,0.009465,[0]
431,9650,0.00965,[1]
432,9685,0.009685,[0]
433,9881,0.009881,[1]
434,9977,0.009977,[0]
435,10158,0.010158,[1]
436,10114,0.010114,[0]
437,9904,0.009904,[1]
438,9912,0.009912,[0]
439,9918,0.009918,[1]
440,10106,0.010106,[0]
441,10146,0.010146,[1]
442,10054,0.010054,[0]
443,10197,0.010197,[1]
444,10111,0.010111,[0]
445,10165,0.010165,[1]
446,10280,0.01028,[0]
447,10497,0.010497,[1]
448,10579,0.010579,[0]
449,10585,0.010585,[1]
450,11038,0.011038,[0]
451,10880,0.01088,[1]
452,10855,0.010855,[0]
453,10586,0.010586,[1]
454,10395,0.010395,[0]
455,10120,0.01012,[1]
456,9770,0.00977,[0]
457,9668,0.009668,[1]
458,9392,0.009392,[0]
459,9285,0.009285,[1]
460,9270,0.00927,[0]
461,9324,0.009324,[1]
462,9246,0.009246,[0]
463,9246,0.009246,[1]
464,9288,0.009288,[0]
465,9449,0.009449,[1]
466,9232,0.009232,[0]
467,9076,0.009076,[1]
468,8853,0.008853,[0]
469,8943,0.008943,[1]
470,8959,0.008959,[0]
471,8901,0.008901,[1]
472,8917,0.008917,[0]
473,9109,0.009109,[1]
474,9151,0.009151,[0]
475,9105,0.009105,[1]
476,9349,0.009349,[0]
477,9116,0.009116,[1]
478,8855,0.008855,[0]
479,8966,0.008966,[1]
480,8910,0.00891,[0]
481,8859,0.008859,[1]
482,8999,0.008999,[0]
483,8960,0.00896,[1]
484,8807,0.008807,[0]
485,8809,0.008809,[1]
486,8936,0.008936,[0]
487,8822,0.008822,[1]
488,8843,0.008843,[0]
489,9159,0.009159,[1]
490,9152,0.009152,[0]
491,9171,0.009171,[1]
492,9343,0.009343,[0]
493,9347,0.009347,[1]
494,9175,0.009175,[0]
495,9246,0.009246,[1]
496,9211,0.009211,[0]
497,9332,0.009332,[1]
498,9304,0.009304,[0]
499,9350,0.00935,[1]
500,9719,0.009719,[0]
501,9682,0.009682,[1]
502,9686,0.009686,[0]
503,9904,0.009904,[1]
504,9797,0.009797,[0]
505,9865,0.009865,[1]
506,10166,0.010166,[0]
507,10037,0.010037,[1]
508,10004,0.010004,[0]
509,10244,0.010244,[1]
510,10357,0.010357,[0]
511,10169,0.010169,[1]
512,10374,0.010374,[0]
513,10255,0.010255,[1]
514,10275,0.010275,[0]
515,10764,0.010764,[1]
516,10847,0.010847,[0]
517,10842,0.010842,[1]
