[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_085638_Davidson_Codie_pirhanaSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,9347,0.009347,[0]
195,9345,0.009345,[1]
196,9358,0.009358,[0]
197,9483,0.009483,[1]
198,9603,0.009603,[0]
199,9263,0.009263,[1]
200,9066,0.009066,[0]
201,9063,0.009063,[1]
202,8944,0.008944,[0]
203,9136,0.009136,[1]
204,9196,0.009196,[0]
205,9575,0.009575,[1]
206,9339,0.009339,[0]
207,9502,0.009502,[1]
208,9733,0.009733,[0]
209,9865,0.009865,[1]
210,9743,0.009743,[0]
211,10533,0.010533,[1]
212,10779,0.010779,[0]
213,10963,0.010963,[1]
214,10724,0.010724,[0]
215,10972,0.010972,[1]
216,10916,0.010916,[0]
217,10952,0.010952,[1]
218,11027,0.011027,[0]
219,11404,0.011404,[1]
220,12213,0.012213,[0]
221,12144,0.012144,[1]
222,12082,0.012082,[0]
223,12310,0.01231,[1]
224,14156,0.014156,[0]
225,14369,0.014369,[1]
226,13779,0.013779,[0]
227,13347,0.013347,[1]
228,12779,0.012779,[0]
229,11958,0.011958,[1]
230,12163,0.012163,[0]
231,12568,0.012568,[1]
232,12597,0.012597,[0]
233,12002,0.012002,[1]
