[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_074751_Davidson_Codie_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
195,14792,0.014792,[1]
196,14580,0.01458,[0]
197,13790,0.01379,[1]
198,14287,0.014287,[0]
199,15241,0.015241,[1]
200,15138,0.015138,[0]
201,14538,0.014538,[1]
202,13310,0.01331,[0]
203,13421,0.013421,[1]
204,12849,0.012849,[0]
205,12266,0.012266,[1]
206,12763,0.012763,[0]
207,12301,0.012301,[1]
208,12031,0.012031,[0]
209,11562,0.011562,[1]
210,11629,0.011629,[0]
211,12074,0.012074,[1]
212,13165,0.013165,[0]
213,11941,0.011941,[1]
214,10947,0.010947,[0]
215,10797,0.010797,[1]
216,11412,0.011412,[0]
217,11257,0.011257,[1]
218,11158,0.011158,[0]
219,11236,0.011236,[1]
220,10848,0.010848,[0]
221,10168,0.010168,[1]
222,10293,0.010293,[0]
223,10510,0.01051,[1]
224,10513,0.010513,[0]
225,10618,0.010618,[1]
226,10374,0.010374,[0]
227,10036,0.010036,[1]
228,10071,0.010071,[0]
229,10055,0.010055,[1]
230,9993,0.009993,[0]
231,10384,0.010384,[1]
232,10334,0.010334,[0]
233,10320,0.01032,[1]
234,10697,0.010697,[0]
235,10263,0.010263,[1]
236,9985,0.009985,[0]
237,9831,0.009831,[1]
238,9591,0.009591,[0]
239,9609,0.009609,[1]
240,9674,0.009674,[0]
241,9836,0.009836,[1]
242,10441,0.010441,[0]
