[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_075404_Davidson_Codie_self SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
104,17199,0.017199,[0]
105,17170,0.01717,[1]
106,16850,0.01685,[0]
107,17506,0.017506,[1]
108,16679,0.016679,[0]
109,15704,0.015704,[1]
110,15344,0.015344,[0]
111,15110,0.01511,[1]
112,14427,0.014427,[0]
113,14105,0.014105,[1]
114,14206,0.014206,[0]
115,14225,0.014225,[1]
116,13725,0.013725,[0]
117,13056,0.013056,[1]
118,12457,0.012457,[0]
119,12091,0.012091,[1]
120,11704,0.011704,[0]
121,11155,0.011155,[1]
122,10753,0.010753,[0]
123,10693,0.010693,[1]
124,10539,0.010539,[0]
125,10484,0.010484,[1]
126,10670,0.01067,[0]
127,10328,0.010328,[1]
128,10455,0.010455,[0]
129,10406,0.010406,[1]
130,9929,0.009929,[0]
131,9738,0.009738,[1]
132,10159,0.010159,[0]
133,9980,0.00998,[1]
134,9834,0.009834,[0]
135,10746,0.010746,[1]
136,10288,0.010288,[0]
137,9831,0.009831,[1]
138,9737,0.009737,[0]
139,9750,0.00975,[1]
140,9544,0.009544,[0]
141,9602,0.009602,[1]
142,9501,0.009501,[0]
143,9685,0.009685,[1]
144,9901,0.009901,[0]
145,9693,0.009693,[1]
146,9822,0.009822,[0]
147,9968,0.009968,[1]
148,10179,0.010179,[0]
149,10202,0.010202,[1]
150,10028,0.010028,[0]
151,9946,0.009946,[1]
152,9979,0.009979,[0]
153,10338,0.010338,[1]
154,10620,0.01062,[0]
155,11245,0.011245,[1]
156,11420,0.01142,[0]
157,11388,0.011388,[1]
158,11438,0.011438,[0]
159,11640,0.01164,[1]
160,11606,0.011606,[0]
161,11776,0.011776,[1]
162,12407,0.012407,[0]
163,12483,0.012483,[1]
164,13517,0.013517,[0]
165,13296,0.013296,[1]
166,13631,0.013631,[0]
167,12967,0.012967,[1]
168,13660,0.01366,[0]
169,13804,0.013804,[1]
170,13883,0.013883,[0]
171,14185,0.014185,[1]
172,13781,0.013781,[0]
173,13721,0.013721,[1]
174,13609,0.013609,[0]
175,13847,0.013847,[1]
176,13004,0.013004,[0]
177,13176,0.013176,[1]
178,12825,0.012825,[0]
179,13030,0.01303,[1]
180,12344,0.012344,[0]
181,12025,0.012025,[1]
182,11724,0.011724,[0]
183,11640,0.01164,[1]
184,11562,0.011562,[0]
185,11586,0.011586,[1]
186,11605,0.011605,[0]
187,11227,0.011227,[1]
188,10966,0.010966,[0]
189,11743,0.011743,[1]
190,11851,0.011851,[0]
191,11630,0.01163,[1]
192,11013,0.011013,[0]
193,10900,0.0109,[1]
194,10468,0.010468,[0]
195,10060,0.01006,[1]
196,10095,0.010095,[0]
197,9827,0.009827,[1]
198,9683,0.009683,[0]
199,9554,0.009554,[1]
200,10097,0.010097,[0]
201,10350,0.01035,[1]
202,10466,0.010466,[0]
203,10422,0.010422,[1]
204,10382,0.010382,[0]
205,10158,0.010158,[1]
206,9598,0.009598,[0]
207,9452,0.009452,[1]
208,9437,0.009437,[0]
209,9774,0.009774,[1]
210,9867,0.009867,[0]
211,10262,0.010262,[1]
212,10242,0.010242,[0]
213,10309,0.010309,[1]
214,9836,0.009836,[0]
215,10001,0.010001,[1]
216,9817,0.009817,[0]
217,9730,0.00973,[1]
218,10083,0.010083,[0]
219,10388,0.010388,[1]
220,10816,0.010816,[0]
221,10482,0.010482,[1]
222,10978,0.010978,[0]
223,10992,0.010992,[1]
224,11036,0.011036,[0]
225,10985,0.010985,[1]
226,11244,0.011244,[0]
227,11752,0.011752,[1]
228,12007,0.012007,[0]
229,11903,0.011903,[1]
230,11802,0.011802,[0]
231,11550,0.01155,[1]
232,11912,0.011912,[0]
233,12240,0.01224,[1]
234,12623,0.012623,[0]
235,13282,0.013282,[1]
236,12777,0.012777,[0]
237,12530,0.01253,[1]
238,13062,0.013062,[0]
239,12756,0.012756,[1]
240,12980,0.01298,[0]
241,13222,0.013222,[1]
242,13220,0.01322,[0]
243,13051,0.013051,[1]
244,12967,0.012967,[0]
245,12623,0.012623,[1]
246,12493,0.012493,[0]
247,12222,0.012222,[1]
248,11999,0.011999,[0]
249,12031,0.012031,[1]
250,11365,0.011365,[0]
251,10839,0.010839,[1]
252,10608,0.010608,[0]
253,10493,0.010493,[1]
254,10163,0.010163,[0]
255,10324,0.010324,[1]
256,10429,0.010429,[0]
257,10180,0.01018,[1]
258,9816,0.009816,[0]
259,9985,0.009985,[1]
260,10106,0.010106,[0]
261,9729,0.009729,[1]
262,9634,0.009634,[0]
263,9324,0.009324,[1]
264,9108,0.009108,[0]
265,8878,0.008878,[1]
266,8796,0.008796,[0]
267,9058,0.009058,[1]
268,9366,0.009366,[0]
269,9200,0.0092,[1]
270,9177,0.009177,[0]
271,9127,0.009127,[1]
272,9099,0.009099,[0]
273,8936,0.008936,[1]
274,8673,0.008673,[0]
275,8691,0.008691,[1]
276,8898,0.008898,[0]
277,8934,0.008934,[1]
278,8727,0.008727,[0]
279,8898,0.008898,[1]
280,9005,0.009005,[0]
281,9025,0.009025,[1]
282,8802,0.008802,[0]
283,8835,0.008835,[1]
284,8873,0.008873,[0]
285,8727,0.008727,[1]
286,8717,0.008717,[0]
287,8914,0.008914,[1]
288,8646,0.008646,[0]
289,8533,0.008533,[1]
290,8689,0.008689,[0]
291,8731,0.008731,[1]
292,8764,0.008764,[0]
293,8743,0.008743,[1]
294,8797,0.008797,[0]
295,9008,0.009008,[1]
296,9077,0.009077,[0]
297,9199,0.009199,[1]
298,9275,0.009275,[0]
299,9504,0.009504,[1]
300,9597,0.009597,[0]
301,9781,0.009781,[1]
302,9805,0.009805,[0]
303,9867,0.009867,[1]
304,9981,0.009981,[0]
305,10065,0.010065,[1]
306,10095,0.010095,[0]
307,10098,0.010098,[1]
308,10353,0.010353,[0]
309,10686,0.010686,[1]
310,11025,0.011025,[0]
311,11059,0.011059,[1]
312,10953,0.010953,[0]
313,11193,0.011193,[1]
314,11440,0.01144,[0]
315,11294,0.011294,[1]
316,11146,0.011146,[0]
317,11487,0.011487,[1]
318,11945,0.011945,[0]
319,11983,0.011983,[1]
320,11876,0.011876,[0]
321,12004,0.012004,[1]
322,11699,0.011699,[0]
323,11450,0.01145,[1]
324,11916,0.011916,[0]
325,12176,0.012176,[1]
326,12566,0.012566,[0]
327,12264,0.012264,[1]
328,11607,0.011607,[0]
329,10893,0.010893,[1]
330,10628,0.010628,[0]
331,10183,0.010183,[1]
332,9782,0.009782,[0]
333,9964,0.009964,[1]
334,10148,0.010148,[0]
335,10196,0.010196,[1]
336,10002,0.010002,[0]
337,9741,0.009741,[1]
338,9346,0.009346,[0]
339,9272,0.009272,[1]
340,9567,0.009567,[0]
341,9641,0.009641,[1]
342,9378,0.009378,[0]
343,9170,0.00917,[1]
344,9096,0.009096,[0]
345,9044,0.009044,[1]
346,8838,0.008838,[0]
347,9002,0.009002,[1]
348,9095,0.009095,[0]
349,9079,0.009079,[1]
350,8996,0.008996,[0]
351,9141,0.009141,[1]
352,8941,0.008941,[0]
353,8966,0.008966,[1]
354,8684,0.008684,[0]
355,8553,0.008553,[1]
356,8795,0.008795,[0]
357,8782,0.008782,[1]
358,8859,0.008859,[0]
359,8996,0.008996,[1]
360,8865,0.008865,[0]
361,8705,0.008705,[1]
362,8582,0.008582,[0]
363,8800,0.0088,[1]
364,8784,0.008784,[0]
365,8857,0.008857,[1]
366,8949,0.008949,[0]
367,9124,0.009124,[1]
368,9075,0.009075,[0]
369,8941,0.008941,[1]
370,8969,0.008969,[0]
371,8962,0.008962,[1]
372,9159,0.009159,[0]
373,9215,0.009215,[1]
374,9538,0.009538,[0]
375,9927,0.009927,[1]
376,10028,0.010028,[0]
377,9921,0.009921,[1]
378,9974,0.009974,[0]
379,10015,0.010015,[1]
380,10113,0.010113,[0]
381,10172,0.010172,[1]
382,10221,0.010221,[0]
383,10237,0.010237,[1]
384,10701,0.010701,[0]
385,11193,0.011193,[1]
386,11354,0.011354,[0]
387,11393,0.011393,[1]
388,11193,0.011193,[0]
389,11342,0.011342,[1]
390,11546,0.011546,[0]
391,11227,0.011227,[1]
392,11536,0.011536,[0]
393,11845,0.011845,[1]
394,12326,0.012326,[0]
395,12010,0.01201,[1]
396,12104,0.012104,[0]
397,11882,0.011882,[1]
398,11771,0.011771,[0]
399,11191,0.011191,[1]
400,10836,0.010836,[0]
401,11052,0.011052,[1]
402,10789,0.010789,[0]
403,11208,0.011208,[1]
404,10749,0.010749,[0]
405,11014,0.011014,[1]
406,10848,0.010848,[0]
407,10248,0.010248,[1]
408,9827,0.009827,[0]
409,9489,0.009489,[1]
410,9416,0.009416,[0]
411,9365,0.009365,[1]
412,9308,0.009308,[0]
413,9387,0.009387,[1]
414,9591,0.009591,[0]
415,9534,0.009534,[1]
416,9223,0.009223,[0]
417,8826,0.008826,[1]
418,8581,0.008581,[0]
419,8608,0.008608,[1]
420,8494,0.008494,[0]
421,8584,0.008584,[1]
422,8460,0.00846,[0]
423,8660,0.00866,[1]
424,8605,0.008605,[0]
425,8759,0.008759,[1]
426,8613,0.008613,[0]
427,8643,0.008643,[1]
428,8401,0.008401,[0]
429,8393,0.008393,[1]
430,8568,0.008568,[0]
431,8560,0.00856,[1]
432,8306,0.008306,[0]
433,8480,0.00848,[1]
434,8499,0.008499,[0]
435,8329,0.008329,[1]
436,8408,0.008408,[0]
437,8494,0.008494,[1]
438,8465,0.008465,[0]
439,8313,0.008313,[1]
440,8521,0.008521,[0]
441,8382,0.008382,[1]
442,8384,0.008384,[0]
443,8304,0.008304,[1]
444,8549,0.008549,[0]
445,8530,0.00853,[1]
446,8531,0.008531,[0]
447,8403,0.008403,[1]
448,8762,0.008762,[0]
449,8720,0.00872,[1]
450,8593,0.008593,[0]
451,8848,0.008848,[1]
452,9104,0.009104,[0]
453,9480,0.00948,[1]
454,9550,0.00955,[0]
455,9639,0.009639,[1]
456,9304,0.009304,[0]
457,10098,0.010098,[1]
458,10887,0.010887,[0]
459,11103,0.011103,[1]
460,10727,0.010727,[0]
461,10639,0.010639,[1]
462,10045,0.010045,[0]
463,10030,0.01003,[1]
464,10233,0.010233,[0]
465,10083,0.010083,[1]
466,10396,0.010396,[0]
467,10784,0.010784,[1]
468,11311,0.011311,[0]
469,11377,0.011377,[1]
470,12009,0.012009,[0]
471,12352,0.012352,[1]
472,11751,0.011751,[0]
473,11410,0.01141,[1]
474,11437,0.011437,[0]
475,11648,0.011648,[1]
476,11577,0.011577,[0]
477,11432,0.011432,[1]
478,11355,0.011355,[0]
479,11509,0.011509,[1]
480,11064,0.011064,[0]
481,10800,0.0108,[1]
482,10719,0.010719,[0]
483,10843,0.010843,[1]
484,10531,0.010531,[0]
485,10755,0.010755,[1]
486,10612,0.010612,[0]
487,10394,0.010394,[1]
488,10007,0.010007,[0]
489,9702,0.009702,[1]
490,9735,0.009735,[0]
491,9413,0.009413,[1]
492,9515,0.009515,[0]
493,9540,0.00954,[1]
494,9588,0.009588,[0]
495,9526,0.009526,[1]
496,9511,0.009511,[0]
497,9342,0.009342,[1]
498,9159,0.009159,[0]
499,9007,0.009007,[1]
500,9007,0.009007,[0]
501,8976,0.008976,[1]
502,8940,0.00894,[0]
503,8902,0.008902,[1]
504,9255,0.009255,[0]
505,9034,0.009034,[1]
506,8911,0.008911,[0]
507,8930,0.00893,[1]
508,8850,0.00885,[0]
509,8993,0.008993,[1]
510,8939,0.008939,[0]
511,8758,0.008758,[1]
512,8495,0.008495,[0]
513,8306,0.008306,[1]
514,8349,0.008349,[0]
515,8557,0.008557,[1]
516,8497,0.008497,[0]
517,8671,0.008671,[1]
518,8863,0.008863,[0]
519,8990,0.00899,[1]
520,9060,0.00906,[0]
521,9056,0.009056,[1]
522,8811,0.008811,[0]
523,9036,0.009036,[1]
524,8831,0.008831,[0]
525,9119,0.009119,[1]
526,9165,0.009165,[0]
527,9249,0.009249,[1]
528,9187,0.009187,[0]
529,9635,0.009635,[1]
530,9612,0.009612,[0]
531,9372,0.009372,[1]
532,9288,0.009288,[0]
533,9593,0.009593,[1]
534,9860,0.00986,[0]
535,10233,0.010233,[1]
536,10517,0.010517,[0]
537,10927,0.010927,[1]
538,10905,0.010905,[0]
539,10736,0.010736,[1]
540,10629,0.010629,[0]
541,11142,0.011142,[1]
542,11495,0.011495,[0]
543,11558,0.011558,[1]
544,11266,0.011266,[0]
545,11606,0.011606,[1]
546,11433,0.011433,[0]
547,11262,0.011262,[1]
548,11277,0.011277,[0]
549,11716,0.011716,[1]
550,11889,0.011889,[0]
551,12056,0.012056,[1]
552,11874,0.011874,[0]
553,11710,0.01171,[1]
554,11376,0.011376,[0]
555,11316,0.011316,[1]
556,11313,0.011313,[0]
557,11067,0.011067,[1]
558,11096,0.011096,[0]
559,10912,0.010912,[1]
560,10716,0.010716,[0]
561,10311,0.010311,[1]
562,10006,0.010006,[0]
563,9774,0.009774,[1]
564,9581,0.009581,[0]
565,9523,0.009523,[1]
566,9451,0.009451,[0]
567,9787,0.009787,[1]
568,9744,0.009744,[0]
569,9725,0.009725,[1]
570,9627,0.009627,[0]
571,9301,0.009301,[1]
572,9016,0.009016,[0]
573,8943,0.008943,[1]
574,8761,0.008761,[0]
575,8716,0.008716,[1]
576,8493,0.008493,[0]
577,8363,0.008363,[1]
578,8520,0.00852,[0]
579,8529,0.008529,[1]
580,8558,0.008558,[0]
581,8439,0.008439,[1]
582,8586,0.008586,[0]
583,8756,0.008756,[1]
584,8568,0.008568,[0]
585,8657,0.008657,[1]
586,8622,0.008622,[0]
587,8472,0.008472,[1]
588,8320,0.00832,[0]
589,8250,0.00825,[1]
590,8431,0.008431,[0]
591,8593,0.008593,[1]
592,9248,0.009248,[0]
593,9481,0.009481,[1]
594,9248,0.009248,[0]
595,9305,0.009305,[1]
596,9094,0.009094,[0]
597,8957,0.008957,[1]
598,8827,0.008827,[0]
599,8675,0.008675,[1]
600,8579,0.008579,[0]
601,8460,0.00846,[1]
602,8773,0.008773,[0]
603,8860,0.00886,[1]
604,9404,0.009404,[0]
605,9784,0.009784,[1]
606,9975,0.009975,[0]
607,9947,0.009947,[1]
608,10080,0.01008,[0]
609,10017,0.010017,[1]
610,9968,0.009968,[0]
611,9499,0.009499,[1]
612,9511,0.009511,[0]
613,9748,0.009748,[1]
614,9946,0.009946,[0]
615,10442,0.010442,[1]
616,10939,0.010939,[0]
617,11205,0.011205,[1]
618,11460,0.01146,[0]
619,11563,0.011563,[1]
620,11194,0.011194,[0]
621,11177,0.011177,[1]
622,10895,0.010895,[0]
623,11118,0.011118,[1]
624,11109,0.011109,[0]
625,11186,0.011186,[1]
626,11225,0.011225,[0]
627,11517,0.011517,[1]
628,11680,0.01168,[0]
629,11856,0.011856,[1]
630,12242,0.012242,[0]
631,12333,0.012333,[1]
632,12084,0.012084,[0]
633,11605,0.011605,[1]
634,11223,0.011223,[0]
635,11073,0.011073,[1]
636,11010,0.01101,[0]
637,10803,0.010803,[1]
638,10839,0.010839,[0]
639,10687,0.010687,[1]
640,10539,0.010539,[0]
641,10196,0.010196,[1]
642,9890,0.00989,[0]
643,9787,0.009787,[1]
644,9532,0.009532,[0]
645,9556,0.009556,[1]
646,9762,0.009762,[0]
647,9873,0.009873,[1]
648,10125,0.010125,[0]
649,10077,0.010077,[1]
650,9979,0.009979,[0]
651,9522,0.009522,[1]
652,9285,0.009285,[0]
653,9175,0.009175,[1]
654,8940,0.00894,[0]
655,8975,0.008975,[1]
656,9102,0.009102,[0]
657,9442,0.009442,[1]
658,9161,0.009161,[0]
659,9343,0.009343,[1]
660,9140,0.00914,[0]
661,8951,0.008951,[1]
662,9062,0.009062,[0]
663,9159,0.009159,[1]
664,9236,0.009236,[0]
665,9388,0.009388,[1]
666,9123,0.009123,[0]
667,8789,0.008789,[1]
668,8620,0.00862,[0]
669,8601,0.008601,[1]
670,8865,0.008865,[0]
671,8868,0.008868,[1]
672,8998,0.008998,[0]
673,9320,0.00932,[1]
674,9356,0.009356,[0]
675,9444,0.009444,[1]
676,9196,0.009196,[0]
677,8962,0.008962,[1]
678,9132,0.009132,[0]
679,9182,0.009182,[1]
680,9332,0.009332,[0]
681,9402,0.009402,[1]
682,9587,0.009587,[0]
683,9731,0.009731,[1]
684,9698,0.009698,[0]
685,9939,0.009939,[1]
686,10130,0.01013,[0]
687,10101,0.010101,[1]
688,9930,0.00993,[0]
689,9953,0.009953,[1]
690,10106,0.010106,[0]
691,10230,0.01023,[1]
692,10452,0.010452,[0]
693,10934,0.010934,[1]
694,11289,0.011289,[0]
695,11627,0.011627,[1]
696,11505,0.011505,[0]
697,11496,0.011496,[1]
698,11652,0.011652,[0]
699,11268,0.011268,[1]
700,11703,0.011703,[0]
701,12006,0.012006,[1]
702,11903,0.011903,[0]
703,11849,0.011849,[1]
704,11900,0.0119,[0]
705,11955,0.011955,[1]
706,11753,0.011753,[0]
707,11493,0.011493,[1]
708,11366,0.011366,[0]
709,11281,0.011281,[1]
710,10675,0.010675,[0]
711,10485,0.010485,[1]
712,10453,0.010453,[0]
713,10509,0.010509,[1]
714,10089,0.010089,[0]
715,10042,0.010042,[1]
716,9766,0.009766,[0]
717,9559,0.009559,[1]
718,9403,0.009403,[0]
719,9308,0.009308,[1]
720,9202,0.009202,[0]
721,8858,0.008858,[1]
722,8684,0.008684,[0]
723,8959,0.008959,[1]
724,9885,0.009885,[0]
725,9854,0.009854,[1]
726,10003,0.010003,[0]
727,9469,0.009469,[1]
728,9021,0.009021,[0]
729,8601,0.008601,[1]
730,8221,0.008221,[0]
731,7933,0.007933,[1]
732,7677,0.007677,[0]
733,7853,0.007853,[1]
734,7929,0.007929,[0]
735,8082,0.008082,[1]
736,8131,0.008131,[0]
737,8471,0.008471,[1]
738,8806,0.008806,[0]
739,8756,0.008756,[1]
740,8925,0.008925,[0]
741,9156,0.009156,[1]
742,8958,0.008958,[0]
743,8627,0.008627,[1]
744,8469,0.008469,[0]
745,8600,0.0086,[1]
746,8442,0.008442,[0]
747,8160,0.00816,[1]
748,8340,0.00834,[0]
749,8386,0.008386,[1]
750,8380,0.00838,[0]
751,8486,0.008486,[1]
752,8623,0.008623,[0]
753,8782,0.008782,[1]
754,8766,0.008766,[0]
755,9047,0.009047,[1]
756,9198,0.009198,[0]
757,9394,0.009394,[1]
758,9482,0.009482,[0]
759,9838,0.009838,[1]
760,10043,0.010043,[0]
761,9997,0.009997,[1]
762,10106,0.010106,[0]
763,10234,0.010234,[1]
764,10278,0.010278,[0]
765,10328,0.010328,[1]
766,10503,0.010503,[0]
767,10482,0.010482,[1]
768,10595,0.010595,[0]
