[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_084907_Davidson_Codie_pirhana60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,12065,0.012065,[0]
195,11689,0.011689,[1]
196,12422,0.012422,[0]
197,12379,0.012379,[1]
198,12406,0.012406,[0]
199,12409,0.012409,[1]
200,12929,0.012929,[0]
201,13063,0.013063,[1]
202,13061,0.013061,[0]
203,13143,0.013143,[1]
204,13131,0.013131,[0]
205,13684,0.013684,[1]
206,13865,0.013865,[0]
207,13362,0.013362,[1]
208,13292,0.013292,[0]
209,14078,0.014078,[1]
210,13958,0.013958,[0]
211,13601,0.013601,[1]
212,13562,0.013562,[0]
213,13693,0.013693,[1]
214,13660,0.01366,[0]
215,13179,0.013179,[1]
216,12989,0.012989,[0]
217,12784,0.012784,[1]
218,12679,0.012679,[0]
219,12868,0.012868,[1]
220,12583,0.012583,[0]
221,12564,0.012564,[1]
222,11913,0.011913,[0]
223,11752,0.011752,[1]
224,11568,0.011568,[0]
225,11263,0.011263,[1]
226,11153,0.011153,[0]
227,11286,0.011286,[1]
228,10811,0.010811,[0]
229,11170,0.01117,[1]
230,10951,0.010951,[0]
231,10670,0.01067,[1]
232,10486,0.010486,[0]
233,10391,0.010391,[1]
234,10188,0.010188,[0]
235,10187,0.010187,[1]
236,9891,0.009891,[0]
237,9513,0.009513,[1]
238,9702,0.009702,[0]
239,9987,0.009987,[1]
240,10245,0.010245,[0]
241,9805,0.009805,[1]
242,9906,0.009906,[0]
243,9879,0.009879,[1]
244,9992,0.009992,[0]
245,10387,0.010387,[1]
246,10856,0.010856,[0]
247,10959,0.010959,[1]
248,10414,0.010414,[0]
249,9822,0.009822,[1]
250,9924,0.009924,[0]
251,10207,0.010207,[1]
252,9735,0.009735,[0]
253,9400,0.0094,[1]
254,9597,0.009597,[0]
255,9306,0.009306,[1]
256,9308,0.009308,[0]
257,9579,0.009579,[1]
258,9939,0.009939,[0]
259,9828,0.009828,[1]
260,9809,0.009809,[0]
261,9978,0.009978,[1]
262,10114,0.010114,[0]
263,9975,0.009975,[1]
264,10130,0.01013,[0]
265,10254,0.010254,[1]
266,10514,0.010514,[0]
267,10024,0.010024,[1]
268,10248,0.010248,[0]
269,10656,0.010656,[1]
270,10768,0.010768,[0]
271,10640,0.01064,[1]
272,10979,0.010979,[0]
273,11527,0.011527,[1]
274,11518,0.011518,[0]
275,11054,0.011054,[1]
276,11318,0.011318,[0]
277,11563,0.011563,[1]
278,11468,0.011468,[0]
279,11870,0.01187,[1]
280,11941,0.011941,[0]
281,11676,0.011676,[1]
282,11653,0.011653,[0]
283,12483,0.012483,[1]
284,12561,0.012561,[0]
285,12573,0.012573,[1]
286,12459,0.012459,[0]
287,12616,0.012616,[1]
288,13115,0.013115,[0]
289,13470,0.01347,[1]
290,12997,0.012997,[0]
291,13341,0.013341,[1]
292,13375,0.013375,[0]
293,13021,0.013021,[1]
294,13230,0.01323,[0]
295,13661,0.013661,[1]
296,13409,0.013409,[0]
297,12815,0.012815,[1]
298,12380,0.01238,[0]
299,13115,0.013115,[1]
300,13271,0.013271,[0]
301,12248,0.012248,[1]
302,12388,0.012388,[0]
303,11765,0.011765,[1]
304,11178,0.011178,[0]
305,10700,0.0107,[1]
306,10714,0.010714,[0]
307,10444,0.010444,[1]
308,10267,0.010267,[0]
309,10392,0.010392,[1]
310,10192,0.010192,[0]
311,9814,0.009814,[1]
312,9663,0.009663,[0]
313,9591,0.009591,[1]
314,10281,0.010281,[0]
315,10256,0.010256,[1]
316,10329,0.010329,[0]
317,10229,0.010229,[1]
318,9796,0.009796,[0]
319,9353,0.009353,[1]
320,9069,0.009069,[0]
321,8816,0.008816,[1]
322,8903,0.008903,[0]
323,9174,0.009174,[1]
324,9233,0.009233,[0]
325,9656,0.009656,[1]
326,9325,0.009325,[0]
327,9079,0.009079,[1]
328,8825,0.008825,[0]
329,8540,0.00854,[1]
330,8787,0.008787,[0]
331,9085,0.009085,[1]
332,8919,0.008919,[0]
333,8958,0.008958,[1]
334,9000,0.009,[0]
335,8667,0.008667,[1]
336,8912,0.008912,[0]
337,8793,0.008793,[1]
338,8830,0.00883,[0]
339,8686,0.008686,[1]
340,8842,0.008842,[0]
341,9023,0.009023,[1]
342,9108,0.009108,[0]
343,9192,0.009192,[1]
344,9164,0.009164,[0]
345,9311,0.009311,[1]
346,9024,0.009024,[0]
347,9016,0.009016,[1]
348,9510,0.00951,[0]
349,9542,0.009542,[1]
350,9448,0.009448,[0]
351,9692,0.009692,[1]
352,9613,0.009613,[0]
353,9816,0.009816,[1]
354,9595,0.009595,[0]
355,10096,0.010096,[1]
356,10252,0.010252,[0]
357,10378,0.010378,[1]
358,10367,0.010367,[0]
359,10632,0.010632,[1]
360,10668,0.010668,[0]
361,11031,0.011031,[1]
362,10822,0.010822,[0]
363,10877,0.010877,[1]
364,11211,0.011211,[0]
365,11438,0.011438,[1]
366,11554,0.011554,[0]
367,11229,0.011229,[1]
368,11112,0.011112,[0]
369,11907,0.011907,[1]
