[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_084830_Pope_Ben_80SR-TC
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
195,9694,0.009694,[1]
196,9622,0.009622,[0]
197,9402,0.009402,[1]
198,9157,0.009157,[0]
199,8969,0.008969,[1]
200,8878,0.008878,[0]
201,8790,0.00879,[1]
202,8813,0.008813,[0]
203,9075,0.009075,[1]
204,9180,0.00918,[0]
205,9183,0.009183,[1]
206,9383,0.009383,[0]
207,9390,0.00939,[1]
208,9469,0.009469,[0]
209,9672,0.009672,[1]
210,9789,0.009789,[0]
211,9742,0.009742,[1]
212,9579,0.009579,[0]
213,9598,0.009598,[1]
214,9557,0.009557,[0]
215,9511,0.009511,[1]
216,9431,0.009431,[0]
217,9671,0.009671,[1]
218,9560,0.00956,[0]
219,9641,0.009641,[1]
220,10014,0.010014,[0]
221,10432,0.010432,[1]
222,10857,0.010857,[0]
223,10720,0.01072,[1]
224,10500,0.0105,[0]
225,10607,0.010607,[1]
226,10528,0.010528,[0]
227,10321,0.010321,[1]
228,10415,0.010415,[0]
229,10365,0.010365,[1]
230,10467,0.010467,[0]
231,10829,0.010829,[1]
232,10831,0.010831,[0]
233,10939,0.010939,[1]
234,11158,0.011158,[0]
235,11390,0.01139,[1]
236,11134,0.011134,[0]
237,11213,0.011213,[1]
238,10694,0.010694,[0]
239,10210,0.01021,[1]
240,10112,0.010112,[0]
241,9959,0.009959,[1]
242,9606,0.009606,[0]
243,9390,0.00939,[1]
244,9596,0.009596,[0]
245,9623,0.009623,[1]
246,9946,0.009946,[0]
247,10467,0.010467,[1]
248,10743,0.010743,[0]
249,10516,0.010516,[1]
250,10477,0.010477,[0]
251,10458,0.010458,[1]
252,10256,0.010256,[0]
