[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Pope,Ben,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251203_081829_Pope_Ben_100SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
195,9353,0.009353,[1]
196,9279,0.009279,[0]
197,9187,0.009187,[1]
198,9053,0.009053,[0]
199,8814,0.008814,[1]
200,8680,0.00868,[0]
201,8836,0.008836,[1]
202,9417,0.009417,[0]
203,9573,0.009573,[1]
204,9408,0.009408,[0]
205,9199,0.009199,[1]
206,9018,0.009018,[0]
207,8723,0.008723,[1]
208,8510,0.00851,[0]
209,8360,0.00836,[1]
210,8208,0.008208,[0]
211,8165,0.008165,[1]
212,8310,0.00831,[0]
213,8446,0.008446,[1]
214,8564,0.008564,[0]
215,8882,0.008882,[1]
216,8886,0.008886,[0]
217,8882,0.008882,[1]
218,8906,0.008906,[0]
219,8857,0.008857,[1]
220,8750,0.00875,[0]
221,8742,0.008742,[1]
222,8698,0.008698,[0]
223,8651,0.008651,[1]
224,8680,0.00868,[0]
225,8679,0.008679,[1]
226,8818,0.008818,[0]
227,9084,0.009084,[1]
228,9174,0.009174,[0]
229,9161,0.009161,[1]
230,9235,0.009235,[0]
231,9308,0.009308,[1]
232,9458,0.009458,[0]
233,9357,0.009357,[1]
234,9285,0.009285,[0]
235,9410,0.00941,[1]
236,9255,0.009255,[0]
237,9374,0.009374,[1]
238,9296,0.009296,[0]
239,9273,0.009273,[1]
240,9339,0.009339,[0]
241,9420,0.00942,[1]
242,9396,0.009396,[0]
243,9300,0.0093,[1]
244,9190,0.00919,[0]
245,9046,0.009046,[1]
246,8849,0.008849,[0]
247,8773,0.008773,[1]
248,8635,0.008635,[0]
249,8764,0.008764,[1]
250,8995,0.008995,[0]
251,9062,0.009062,[1]
252,9116,0.009116,[0]
253,9042,0.009042,[1]
254,8988,0.008988,[0]
255,8881,0.008881,[1]
256,8813,0.008813,[0]
257,8719,0.008719,[1]
258,8787,0.008787,[0]
259,8652,0.008652,[1]
260,8444,0.008444,[0]
261,8304,0.008304,[1]
262,8248,0.008248,[0]
263,8057,0.008057,[1]
264,8184,0.008184,[0]
265,8335,0.008335,[1]
266,8251,0.008251,[0]
267,8265,0.008265,[1]
268,8247,0.008247,[0]
269,8105,0.008105,[1]
270,7950,0.00795,[0]
271,8034,0.008034,[1]
272,8176,0.008176,[0]
273,8142,0.008142,[1]
274,8082,0.008082,[0]
275,7903,0.007903,[1]
276,7703,0.007703,[0]
277,7650,0.00765,[1]
278,7688,0.007688,[0]
279,7954,0.007954,[1]
280,8004,0.008004,[0]
281,7963,0.007963,[1]
282,8040,0.00804,[0]
283,8389,0.008389,[1]
284,8430,0.00843,[0]
285,8670,0.00867,[1]
286,8984,0.008984,[0]
287,9207,0.009207,[1]
288,9518,0.009518,[0]
289,9577,0.009577,[1]
290,9271,0.009271,[0]
291,9465,0.009465,[1]
292,9353,0.009353,[0]
293,9594,0.009594,[1]
294,9532,0.009532,[0]
295,9334,0.009334,[1]
296,9518,0.009518,[0]
297,9446,0.009446,[1]
298,9591,0.009591,[0]
299,9851,0.009851,[1]
300,9712,0.009712,[0]
301,9548,0.009548,[1]
302,9992,0.009992,[0]
303,10155,0.010155,[1]
304,10003,0.010003,[0]
305,10617,0.010617,[1]
306,10633,0.010633,[0]
307,10480,0.01048,[1]
308,10544,0.010544,[0]
309,10431,0.010431,[1]
310,9889,0.009889,[0]
311,9548,0.009548,[1]
312,9568,0.009568,[0]
313,9325,0.009325,[1]
314,8988,0.008988,[0]
315,8973,0.008973,[1]
316,9203,0.009203,[0]
317,9513,0.009513,[1]
318,9966,0.009966,[0]
319,10133,0.010133,[1]
320,9886,0.009886,[0]
321,9502,0.009502,[1]
322,9892,0.009892,[0]
323,10310,0.01031,[1]
324,10040,0.01004,[0]
325,9697,0.009697,[1]
326,9334,0.009334,[0]
327,9002,0.009002,[1]
328,8856,0.008856,[0]
329,8788,0.008788,[1]
330,8568,0.008568,[0]
331,8484,0.008484,[1]
332,8498,0.008498,[0]
333,8559,0.008559,[1]
334,8674,0.008674,[0]
335,8903,0.008903,[1]
336,8792,0.008792,[0]
337,8656,0.008656,[1]
338,8551,0.008551,[0]
339,8899,0.008899,[1]
340,8992,0.008992,[0]
341,8700,0.0087,[1]
342,8525,0.008525,[0]
343,8327,0.008327,[1]
344,8174,0.008174,[0]
345,8084,0.008084,[1]
346,8364,0.008364,[0]
347,8543,0.008543,[1]
348,8676,0.008676,[0]
349,8815,0.008815,[1]
350,8664,0.008664,[0]
351,8564,0.008564,[1]
352,8528,0.008528,[0]
353,8675,0.008675,[1]
354,8592,0.008592,[0]
355,8821,0.008821,[1]
356,8635,0.008635,[0]
357,8461,0.008461,[1]
358,8668,0.008668,[0]
359,8796,0.008796,[1]
360,8700,0.0087,[0]
361,9018,0.009018,[1]
362,9112,0.009112,[0]
363,9100,0.0091,[1]
364,9379,0.009379,[0]
365,9453,0.009453,[1]
366,9521,0.009521,[0]
367,9841,0.009841,[1]
368,9668,0.009668,[0]
369,9381,0.009381,[1]
370,9173,0.009173,[0]
371,8961,0.008961,[1]
372,8806,0.008806,[0]
373,8821,0.008821,[1]
374,9200,0.0092,[0]
375,9236,0.009236,[1]
376,9262,0.009262,[0]
377,9579,0.009579,[1]
378,9437,0.009437,[0]
379,9214,0.009214,[1]
380,8972,0.008972,[0]
381,8886,0.008886,[1]
382,8937,0.008937,[0]
383,8882,0.008882,[1]
384,8995,0.008995,[0]
385,9028,0.009028,[1]
386,9025,0.009025,[0]
387,8988,0.008988,[1]
388,8906,0.008906,[0]
389,8828,0.008828,[1]
390,8730,0.00873,[0]
391,8648,0.008648,[1]
392,8712,0.008712,[0]
393,8678,0.008678,[1]
394,8654,0.008654,[0]
395,8651,0.008651,[1]
396,8684,0.008684,[0]
397,8623,0.008623,[1]
398,8503,0.008503,[0]
399,8428,0.008428,[1]
400,8237,0.008237,[0]
401,8116,0.008116,[1]
402,8099,0.008099,[0]
403,8102,0.008102,[1]
404,8114,0.008114,[0]
405,8017,0.008017,[1]
406,7952,0.007952,[0]
407,7892,0.007892,[1]
408,7822,0.007822,[0]
409,7792,0.007792,[1]
410,7962,0.007962,[0]
411,8108,0.008108,[1]
412,8130,0.00813,[0]
413,8192,0.008192,[1]
414,8193,0.008193,[0]
415,8483,0.008483,[1]
416,8617,0.008617,[0]
417,9004,0.009004,[1]
418,8916,0.008916,[0]
419,9214,0.009214,[1]
420,9149,0.009149,[0]
421,9023,0.009023,[1]
422,8917,0.008917,[0]
423,9061,0.009061,[1]
424,9348,0.009348,[0]
425,9062,0.009062,[1]
426,9156,0.009156,[0]
427,9104,0.009104,[1]
428,9214,0.009214,[0]
429,9287,0.009287,[1]
430,9519,0.009519,[0]
431,10022,0.010022,[1]
432,10680,0.01068,[0]
433,11773,0.011773,[1]
