[APPLICATION_METADATA_BEGIN],,,
CaptureSoftwareApp,RXCaptureApp,,
CaptureSoftwareVersion,21.9.5.0,,
CaptureAppSport,RX_ALLSPORTS,,
[APPLICATION_METADATA_END],,,
[DEVICE_METADATA_BEGIN],,,
[[METADATA_BEGIN],,,
Owner,<Paddle Aust>,,
PurchaseDate,<20230112-1>,,
WEB,AMRSport.com,,
DeviceName,Hornet-2011,,
BuildDate,<20110101>,,
FirmwareVersion,190902,,
WheelCircumferenceMeters,0.1,,
EncoderPulsesPerRev,10,,
TimeStampEvent_EveryNEncoderPulses,2,,
ClockHz,1000000,,
CalibrationScale,0.998,,
[METADATA_END],,,
[DEVICE_METADATA_END],,,
[TRIAL_META_DATA_BEGIN],,,
Athlete,Pope,Ben,CSLX Test
TrialDistance,100,,
AutoStopDistance,100,,
TrialFilename,20251203_085501_Pope_Ben_100SR-TC,,
ZeroOffsetIdx,1,,
[TRIAL_META_DATA_END],,,
[TRIAL_DATA_BEGIN],,,
TimeStampEvent,Ticks,Seconds,
0,18073,0.018073,[0]
1,24577,0.024577,[1]
2,25858,0.025858,[0]
3,29623,0.029623,[1]
4,29869,0.029869,[0]
5,27890,0.02789,[1]
6,25395,0.025395,[0]
7,23588,0.023588,[1]
8,21187,0.021187,[0]
9,19740,0.01974,[1]
10,19049,0.019049,[0]
11,18678,0.018678,[1]
12,18124,0.018124,[0]
13,17463,0.017463,[1]
14,16532,0.016532,[0]
15,16280,0.01628,[1]
16,15508,0.015508,[0]
17,14791,0.014791,[1]
18,14511,0.014511,[0]
19,14087,0.014087,[1]
20,13885,0.013885,[0]
21,13638,0.013638,[1]
22,13475,0.013475,[0]
23,13268,0.013268,[1]
24,12944,0.012944,[0]
25,12749,0.012749,[1]
26,12732,0.012732,[0]
27,13100,0.0131,[1]
28,13618,0.013618,[0]
29,13870,0.01387,[1]
30,13979,0.013979,[0]
31,13939,0.013939,[1]
32,14209,0.014209,[0]
33,15132,0.015132,[1]
34,15129,0.015129,[0]
35,15217,0.015217,[1]
36,14859,0.014859,[0]
37,13974,0.013974,[1]
38,13308,0.013308,[0]
39,12676,0.012676,[1]
40,12186,0.012186,[0]
41,12125,0.012125,[1]
42,12556,0.012556,[0]
43,13006,0.013006,[1]
44,12313,0.012313,[0]
45,11955,0.011955,[1]
46,11691,0.011691,[0]
47,11837,0.011837,[1]
48,12049,0.012049,[0]
49,12293,0.012293,[1]
50,12262,0.012262,[0]
51,11940,0.01194,[1]
52,11645,0.011645,[0]
53,11409,0.011409,[1]
54,10819,0.010819,[0]
55,10478,0.010478,[1]
56,9968,0.009968,[0]
57,9483,0.009483,[1]
58,9339,0.009339,[0]
59,9466,0.009466,[1]
60,9337,0.009337,[0]
61,9297,0.009297,[1]
62,9422,0.009422,[0]
63,9780,0.00978,[1]
64,10315,0.010315,[0]
65,11132,0.011132,[1]
66,11854,0.011854,[0]
67,11850,0.01185,[1]
68,12131,0.012131,[0]
69,12328,0.012328,[1]
70,11789,0.011789,[0]
71,11450,0.01145,[1]
72,11397,0.011397,[0]
73,11840,0.01184,[1]
74,11960,0.01196,[0]
75,12902,0.012902,[1]
76,13531,0.013531,[0]
77,13523,0.013523,[1]
78,13989,0.013989,[0]
79,13526,0.013526,[1]
80,12715,0.012715,[0]
81,12090,0.01209,[1]
82,11719,0.011719,[0]
83,11394,0.011394,[1]
84,11379,0.011379,[0]
85,11565,0.011565,[1]
86,11838,0.011838,[0]
87,11612,0.011612,[1]
88,11746,0.011746,[0]
89,12085,0.012085,[1]
90,11266,0.011266,[0]
91,10697,0.010697,[1]
92,10552,0.010552,[0]
93,10414,0.010414,[1]
94,10142,0.010142,[0]
95,10116,0.010116,[1]
96,10186,0.010186,[0]
97,10209,0.010209,[1]
98,10089,0.010089,[0]
99,9841,0.009841,[1]
100,9444,0.009444,[0]
101,9487,0.009487,[1]
102,9501,0.009501,[0]
103,9226,0.009226,[1]
104,9550,0.00955,[0]
105,9434,0.009434,[1]
