[APPLICATION_METADATA_BEGIN],,,
CaptureSoftwareApp,RXCaptureApp,,
CaptureSoftwareVersion,21.9.5.0,,
CaptureAppSport,RX_ALLSPORTS,,
[APPLICATION_METADATA_END],,,
[DEVICE_METADATA_BEGIN],,,
[[METADATA_BEGIN],,,
Owner,<Paddle Aust>,,
PurchaseDate,<20230112-1>,,
WEB,AMRSport.com,,
DeviceName,Hornet-2011,,
BuildDate,<20110101>,,
FirmwareVersion,190902,,
WheelCircumferenceMeters,0.1,,
EncoderPulsesPerRev,10,,
TimeStampEvent_EveryNEncoderPulses,2,,
ClockHz,1000000,,
CalibrationScale,0.998,,
[METADATA_END],,,
[DEVICE_METADATA_END],,,
[TRIAL_META_DATA_BEGIN],,,
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100,,
AutoStopDistance,100,,
TrialFilename,20251030_085151_Curtin_Dom_60SR-R1,,
ZeroOffsetIdx,1,,
[TRIAL_META_DATA_END],,,
[TRIAL_DATA_BEGIN],,,
TimeStampEvent,Ticks,Seconds,
0,45061,0.045061,[0]
1,31782,0.031782,[1]
2,30873,0.030873,[0]
3,27048,0.027048,[1]
4,25140,0.02514,[0]
5,22672,0.022672,[1]
6,21825,0.021825,[0]
7,21336,0.021336,[1]
8,19673,0.019673,[0]
9,19174,0.019174,[1]
10,19950,0.01995,[0]
11,19552,0.019552,[1]
12,18590,0.01859,[0]
13,19318,0.019318,[1]
14,21335,0.021335,[0]
15,21828,0.021828,[1]
16,22376,0.022376,[0]
17,24017,0.024017,[1]
18,27460,0.02746,[0]
19,27625,0.027625,[1]
20,29768,0.029768,[0]
21,31991,0.031991,[1]
22,34115,0.034115,[0]
23,34864,0.034864,[1]
24,36918,0.036918,[0]
25,34464,0.034464,[1]
26,34422,0.034422,[0]
27,31220,0.03122,[1]
28,28630,0.02863,[0]
29,25081,0.025081,[1]
30,23181,0.023181,[0]
31,20929,0.020929,[1]
32,20788,0.020788,[0]
33,19574,0.019574,[1]
34,18294,0.018294,[0]
35,18004,0.018004,[1]
36,18392,0.018392,[0]
37,18448,0.018448,[1]
38,17687,0.017687,[0]
39,17957,0.017957,[1]
40,18256,0.018256,[0]
41,17783,0.017783,[1]
42,16364,0.016364,[0]
43,16683,0.016683,[1]
44,18495,0.018495,[0]
45,18067,0.018067,[1]
46,16295,0.016295,[0]
47,15601,0.015601,[1]
48,16672,0.016672,[0]
49,16974,0.016974,[1]
50,15811,0.015811,[0]
51,15439,0.015439,[1]
52,15800,0.0158,[0]
53,15716,0.015716,[1]
54,15803,0.015803,[0]
55,16530,0.01653,[1]
56,16283,0.016283,[0]
57,15817,0.015817,[1]
58,16207,0.016207,[0]
59,17503,0.017503,[1]
60,17351,0.017351,[0]
61,16752,0.016752,[1]
62,17369,0.017369,[0]
63,18163,0.018163,[1]
64,19168,0.019168,[0]
65,18852,0.018852,[1]
66,18868,0.018868,[0]
67,19714,0.019714,[1]
68,20077,0.020077,[0]
69,19762,0.019762,[1]
70,20664,0.020664,[0]
71,20811,0.020811,[1]
72,19882,0.019882,[0]
73,19643,0.019643,[1]
74,19537,0.019537,[0]
75,17372,0.017372,[1]
76,15916,0.015916,[0]
77,15519,0.015519,[1]
78,15951,0.015951,[0]
79,14727,0.014727,[1]
80,13643,0.013643,[0]
81,13615,0.013615,[1]
82,13300,0.0133,[0]
83,12734,0.012734,[1]
84,12591,0.012591,[0]
85,12554,0.012554,[1]
86,12460,0.01246,[0]
87,12211,0.012211,[1]
88,11914,0.011914,[0]
89,11418,0.011418,[1]
90,11605,0.011605,[0]
91,11684,0.011684,[1]
92,12281,0.012281,[0]
93,12140,0.01214,[1]
94,11643,0.011643,[0]
95,11393,0.011393,[1]
96,11710,0.01171,[0]
97,11524,0.011524,[1]
98,11049,0.011049,[0]
99,11541,0.011541,[1]
100,11430,0.01143,[0]
101,11431,0.011431,[1]
102,11678,0.011678,[0]
103,11874,0.011874,[1]
104,12136,0.012136,[0]
105,12038,0.012038,[1]
