[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_090649_Curtin_Dom_pirhana80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,9244,0.009244,[0]
195,9340,0.00934,[1]
196,9271,0.009271,[0]
197,9661,0.009661,[1]
198,9510,0.00951,[0]
199,9727,0.009727,[1]
200,9701,0.009701,[0]
201,9407,0.009407,[1]
202,9326,0.009326,[0]
203,9602,0.009602,[1]
204,10102,0.010102,[0]
205,10393,0.010393,[1]
206,10160,0.01016,[0]
207,10031,0.010031,[1]
208,10072,0.010072,[0]
209,10302,0.010302,[1]
210,10630,0.01063,[0]
211,10687,0.010687,[1]
212,10539,0.010539,[0]
213,10564,0.010564,[1]
214,11301,0.011301,[0]
215,11428,0.011428,[1]
216,11416,0.011416,[0]
217,11184,0.011184,[1]
218,10985,0.010985,[0]
219,11419,0.011419,[1]
220,11586,0.011586,[0]
221,11856,0.011856,[1]
222,11758,0.011758,[0]
223,11980,0.01198,[1]
224,11845,0.011845,[0]
225,12176,0.012176,[1]
226,12317,0.012317,[0]
227,12290,0.01229,[1]
228,11960,0.01196,[0]
229,11701,0.011701,[1]
230,11667,0.011667,[0]
231,12168,0.012168,[1]
232,12135,0.012135,[0]
233,11791,0.011791,[1]
234,11553,0.011553,[0]
235,11871,0.011871,[1]
236,11634,0.011634,[0]
237,11179,0.011179,[1]
238,11060,0.01106,[0]
239,10842,0.010842,[1]
240,10351,0.010351,[0]
241,10042,0.010042,[1]
242,10097,0.010097,[0]
243,10042,0.010042,[1]
244,9976,0.009976,[0]
245,9860,0.00986,[1]
246,9867,0.009867,[0]
247,9634,0.009634,[1]
248,9373,0.009373,[0]
249,9257,0.009257,[1]
250,9208,0.009208,[0]
251,8967,0.008967,[1]
252,8812,0.008812,[0]
253,8924,0.008924,[1]
254,9082,0.009082,[0]
255,9243,0.009243,[1]
256,9326,0.009326,[0]
257,9578,0.009578,[1]
258,9304,0.009304,[0]
259,9067,0.009067,[1]
260,9039,0.009039,[0]
261,8807,0.008807,[1]
262,8626,0.008626,[0]
263,8710,0.00871,[1]
264,8934,0.008934,[0]
265,9303,0.009303,[1]
266,9545,0.009545,[0]
267,9907,0.009907,[1]
268,9821,0.009821,[0]
269,9342,0.009342,[1]
