[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082333_Curtin_Dom_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,9728,0.009728,[0]
195,9440,0.00944,[1]
196,9589,0.009589,[0]
197,9443,0.009443,[1]
198,9725,0.009725,[0]
199,10050,0.01005,[1]
200,9854,0.009854,[0]
201,10049,0.010049,[1]
202,10183,0.010183,[0]
203,10347,0.010347,[1]
204,10173,0.010173,[0]
205,10320,0.01032,[1]
206,10301,0.010301,[0]
207,10179,0.010179,[1]
208,10116,0.010116,[0]
209,10043,0.010043,[1]
210,9933,0.009933,[0]
211,9665,0.009665,[1]
212,9623,0.009623,[0]
213,10217,0.010217,[1]
214,9806,0.009806,[0]
215,9394,0.009394,[1]
216,9185,0.009185,[0]
217,9182,0.009182,[1]
218,8929,0.008929,[0]
219,8726,0.008726,[1]
220,8799,0.008799,[0]
221,8744,0.008744,[1]
222,8650,0.00865,[0]
223,8432,0.008432,[1]
224,8163,0.008163,[0]
225,8144,0.008144,[1]
226,8275,0.008275,[0]
227,8274,0.008274,[1]
228,8635,0.008635,[0]
229,8524,0.008524,[1]
230,8402,0.008402,[0]
231,8163,0.008163,[1]
232,8046,0.008046,[0]
233,7899,0.007899,[1]
234,7709,0.007709,[0]
235,7793,0.007793,[1]
236,7926,0.007926,[0]
237,8087,0.008087,[1]
238,8074,0.008074,[0]
239,8103,0.008103,[1]
240,8254,0.008254,[0]
241,8236,0.008236,[1]
242,8048,0.008048,[0]
243,8159,0.008159,[1]
244,8175,0.008175,[0]
245,8359,0.008359,[1]
246,8358,0.008358,[0]
247,8514,0.008514,[1]
248,8784,0.008784,[0]
249,8915,0.008915,[1]
250,8633,0.008633,[0]
251,8553,0.008553,[1]
252,8719,0.008719,[0]
253,9151,0.009151,[1]
254,9463,0.009463,[0]
255,9399,0.009399,[1]
256,9238,0.009238,[0]
257,9593,0.009593,[1]
258,9874,0.009874,[0]
259,9910,0.00991,[1]
260,9848,0.009848,[0]
261,10202,0.010202,[1]
262,10031,0.010031,[0]
263,10067,0.010067,[1]
264,10465,0.010465,[0]
265,10299,0.010299,[1]
266,10060,0.01006,[0]
267,9821,0.009821,[1]
268,9714,0.009714,[0]
269,10197,0.010197,[1]
270,10152,0.010152,[0]
271,9923,0.009923,[1]
272,10414,0.010414,[0]
273,10192,0.010192,[1]
274,9884,0.009884,[0]
275,9713,0.009713,[1]
276,9620,0.00962,[0]
277,9509,0.009509,[1]
278,9240,0.00924,[0]
279,8867,0.008867,[1]
280,8763,0.008763,[0]
281,8946,0.008946,[1]
282,8718,0.008718,[0]
283,8886,0.008886,[1]
284,8773,0.008773,[0]
285,8540,0.00854,[1]
286,8419,0.008419,[0]
287,8486,0.008486,[1]
288,8454,0.008454,[0]
289,8340,0.00834,[1]
290,8218,0.008218,[0]
291,8187,0.008187,[1]
292,8280,0.00828,[0]
293,8218,0.008218,[1]
294,8304,0.008304,[0]
295,8158,0.008158,[1]
296,8304,0.008304,[0]
297,8238,0.008238,[1]
298,8316,0.008316,[0]
299,8576,0.008576,[1]
300,8458,0.008458,[0]
301,8174,0.008174,[1]
302,8336,0.008336,[0]
303,8488,0.008488,[1]
304,8742,0.008742,[0]
305,8609,0.008609,[1]
306,8851,0.008851,[0]
307,8671,0.008671,[1]
308,8456,0.008456,[0]
309,8406,0.008406,[1]
310,8637,0.008637,[0]
311,9201,0.009201,[1]
312,8981,0.008981,[0]
313,9310,0.00931,[1]
314,9430,0.00943,[0]
315,9509,0.009509,[1]
316,9259,0.009259,[0]
317,10187,0.010187,[1]
318,11487,0.011487,[0]
319,11002,0.011002,[1]
320,10177,0.010177,[0]
321,9864,0.009864,[1]
322,9508,0.009508,[0]
323,9157,0.009157,[1]
324,9220,0.00922,[0]
325,9768,0.009768,[1]
326,10249,0.010249,[0]
327,10833,0.010833,[1]
328,11308,0.011308,[0]
329,10789,0.010789,[1]
330,10164,0.010164,[0]
331,9719,0.009719,[1]
332,9455,0.009455,[0]
333,9532,0.009532,[1]
334,9230,0.00923,[0]
