[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082028_Curtin_Dom_80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
195,10422,0.010422,[1]
196,10049,0.010049,[0]
197,10036,0.010036,[1]
198,9955,0.009955,[0]
199,9862,0.009862,[1]
200,9710,0.00971,[0]
201,9632,0.009632,[1]
202,9614,0.009614,[0]
203,10032,0.010032,[1]
204,9575,0.009575,[0]
205,9562,0.009562,[1]
206,9457,0.009457,[0]
207,9137,0.009137,[1]
208,8894,0.008894,[0]
209,9070,0.00907,[1]
210,9345,0.009345,[0]
211,9338,0.009338,[1]
212,9390,0.00939,[0]
213,9948,0.009948,[1]
214,9823,0.009823,[0]
215,9481,0.009481,[1]
216,9158,0.009158,[0]
217,9297,0.009297,[1]
218,10003,0.010003,[0]
219,10315,0.010315,[1]
220,9929,0.009929,[0]
221,9784,0.009784,[1]
222,9492,0.009492,[0]
223,9228,0.009228,[1]
224,9115,0.009115,[0]
225,9316,0.009316,[1]
226,9735,0.009735,[0]
227,9778,0.009778,[1]
228,10435,0.010435,[0]
229,10513,0.010513,[1]
230,10878,0.010878,[0]
231,10469,0.010469,[1]
232,10462,0.010462,[0]
233,11050,0.01105,[1]
234,10984,0.010984,[0]
235,11019,0.011019,[1]
236,11426,0.011426,[0]
237,11376,0.011376,[1]
238,11195,0.011195,[0]
239,11133,0.011133,[1]
240,11399,0.011399,[0]
241,12006,0.012006,[1]
242,11875,0.011875,[0]
243,12085,0.012085,[1]
244,11789,0.011789,[0]
245,12290,0.01229,[1]
246,11975,0.011975,[0]
247,11592,0.011592,[1]
248,11468,0.011468,[0]
249,11872,0.011872,[1]
250,11698,0.011698,[0]
251,11760,0.01176,[1]
252,11517,0.011517,[0]
253,11051,0.011051,[1]
254,10628,0.010628,[0]
255,10319,0.010319,[1]
256,10079,0.010079,[0]
257,9936,0.009936,[1]
258,10101,0.010101,[0]
259,9835,0.009835,[1]
260,9820,0.00982,[0]
261,9607,0.009607,[1]
262,9269,0.009269,[0]
263,9449,0.009449,[1]
264,9588,0.009588,[0]
265,9776,0.009776,[1]
266,9600,0.0096,[0]
267,9440,0.00944,[1]
268,9244,0.009244,[0]
269,9090,0.00909,[1]
270,9070,0.00907,[0]
271,8879,0.008879,[1]
272,8971,0.008971,[0]
273,9059,0.009059,[1]
274,9093,0.009093,[0]
275,9662,0.009662,[1]
276,9337,0.009337,[0]
277,9249,0.009249,[1]
278,9456,0.009456,[0]
279,9482,0.009482,[1]
280,9135,0.009135,[0]
281,9179,0.009179,[1]
282,9320,0.00932,[0]
283,9897,0.009897,[1]
284,10595,0.010595,[0]
285,10206,0.010206,[1]
286,10157,0.010157,[0]
287,10171,0.010171,[1]
288,10004,0.010004,[0]
289,9918,0.009918,[1]
290,10120,0.01012,[0]
291,10487,0.010487,[1]
292,10399,0.010399,[0]
293,10436,0.010436,[1]
294,10716,0.010716,[0]
295,10565,0.010565,[1]
296,10552,0.010552,[0]
297,11141,0.011141,[1]
298,11165,0.011165,[0]
299,11077,0.011077,[1]
300,11326,0.011326,[0]
