[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_082704_Curtin_Dom_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,9349,0.009349,[0]
195,9430,0.00943,[1]
196,9803,0.009803,[0]
197,9844,0.009844,[1]
198,9789,0.009789,[0]
199,9422,0.009422,[1]
200,9382,0.009382,[0]
201,9205,0.009205,[1]
202,8931,0.008931,[0]
203,8770,0.00877,[1]
204,8934,0.008934,[0]
205,8843,0.008843,[1]
206,8500,0.0085,[0]
207,8273,0.008273,[1]
208,8185,0.008185,[0]
209,7847,0.007847,[1]
210,7566,0.007566,[0]
211,7390,0.00739,[1]
212,7502,0.007502,[0]
213,7604,0.007604,[1]
214,7576,0.007576,[0]
215,7863,0.007863,[1]
216,7564,0.007564,[0]
217,7328,0.007328,[1]
218,7183,0.007183,[0]
219,7082,0.007082,[1]
220,6975,0.006975,[0]
221,6893,0.006893,[1]
222,6925,0.006925,[0]
223,6953,0.006953,[1]
224,7096,0.007096,[0]
225,7024,0.007024,[1]
226,7178,0.007178,[0]
227,7179,0.007179,[1]
228,7036,0.007036,[0]
229,6854,0.006854,[1]
230,6958,0.006958,[0]
231,6775,0.006775,[1]
232,7002,0.007002,[0]
233,7109,0.007109,[1]
234,7311,0.007311,[0]
235,7220,0.00722,[1]
236,7136,0.007136,[0]
237,7225,0.007225,[1]
238,7322,0.007322,[0]
239,7573,0.007573,[1]
240,7762,0.007762,[0]
241,7760,0.00776,[1]
242,8072,0.008072,[0]
243,8618,0.008618,[1]
244,9256,0.009256,[0]
245,9298,0.009298,[1]
246,9133,0.009133,[0]
247,9060,0.00906,[1]
248,8759,0.008759,[0]
249,8373,0.008373,[1]
250,8278,0.008278,[0]
251,8434,0.008434,[1]
252,8598,0.008598,[0]
253,9426,0.009426,[1]
254,9376,0.009376,[0]
255,9297,0.009297,[1]
256,9313,0.009313,[0]
257,9144,0.009144,[1]
258,9223,0.009223,[0]
259,9020,0.00902,[1]
260,8668,0.008668,[0]
261,8605,0.008605,[1]
262,8692,0.008692,[0]
263,8585,0.008585,[1]
264,8505,0.008505,[0]
265,8963,0.008963,[1]
266,8648,0.008648,[0]
267,8386,0.008386,[1]
268,8066,0.008066,[0]
269,7970,0.00797,[1]
270,7758,0.007758,[0]
271,7632,0.007632,[1]
272,7600,0.0076,[0]
273,7692,0.007692,[1]
274,7822,0.007822,[0]
275,7679,0.007679,[1]
276,7581,0.007581,[0]
277,7720,0.00772,[1]
