[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_090324_Curtin_Dom_pirhana60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
0,592351,0.592351,[0]
1,251893,0.251893,[1]
2,271304,0.271304,[0]
3,202381,0.202381,[1]
4,242884,0.242884,[0]
5,409289,0.409289,[1]
6,1535439,1.535439,[0]
7,29959,0.029959,[1]
8,27597,0.027597,[0]
9,25671,0.025671,[1]
10,24333,0.024333,[0]
11,22967,0.022967,[1]
12,21352,0.021352,[0]
13,20743,0.020743,[1]
14,20705,0.020705,[0]
15,21105,0.021105,[1]
16,19718,0.019718,[0]
17,19675,0.019675,[1]
18,21076,0.021076,[0]
19,21724,0.021724,[1]
20,22203,0.022203,[0]
21,24892,0.024892,[1]
22,28441,0.028441,[0]
23,30826,0.030826,[1]
24,36669,0.036669,[0]
25,48830,0.04883,[1]
26,54293,0.054293,[0]
27,48115,0.048115,[1]
28,39775,0.039775,[0]
29,32554,0.032554,[1]
30,29019,0.029019,[0]
31,24541,0.024541,[1]
32,22584,0.022584,[0]
33,22835,0.022835,[1]
34,21484,0.021484,[0]
35,19806,0.019806,[1]
36,19759,0.019759,[0]
37,20546,0.020546,[1]
38,19281,0.019281,[0]
39,18639,0.018639,[1]
40,18537,0.018537,[0]
41,18868,0.018868,[1]
42,16996,0.016996,[0]
43,15702,0.015702,[1]
44,16782,0.016782,[0]
45,16507,0.016507,[1]
46,17442,0.017442,[0]
47,14822,0.014822,[1]
48,12837,0.012837,[0]
49,12914,0.012914,[1]
50,13921,0.013921,[0]
51,13628,0.013628,[1]
52,13137,0.013137,[0]
53,13365,0.013365,[1]
54,13871,0.013871,[0]
55,13289,0.013289,[1]
56,14006,0.014006,[0]
57,13891,0.013891,[1]
58,13444,0.013444,[0]
59,13818,0.013818,[1]
60,14666,0.014666,[0]
61,14860,0.01486,[1]
62,14584,0.014584,[0]
63,14301,0.014301,[1]
64,15330,0.01533,[0]
65,16101,0.016101,[1]
66,15413,0.015413,[0]
67,15524,0.015524,[1]
68,16315,0.016315,[0]
69,17605,0.017605,[1]
70,16755,0.016755,[0]
71,17491,0.017491,[1]
72,17953,0.017953,[0]
73,18732,0.018732,[1]
74,18298,0.018298,[0]
75,20583,0.020583,[1]
76,19518,0.019518,[0]
77,19447,0.019447,[1]
78,19516,0.019516,[0]
79,20006,0.020006,[1]
80,19273,0.019273,[0]
81,17961,0.017961,[1]
82,17142,0.017142,[0]
83,17190,0.01719,[1]
84,16712,0.016712,[0]
85,16104,0.016104,[1]
86,14940,0.01494,[0]
87,14360,0.01436,[1]
88,14489,0.014489,[0]
89,14579,0.014579,[1]
90,13905,0.013905,[0]
91,13365,0.013365,[1]
92,13081,0.013081,[0]
93,12808,0.012808,[1]
94,12729,0.012729,[0]
95,12334,0.012334,[1]
96,12322,0.012322,[0]
97,12235,0.012235,[1]
98,12691,0.012691,[0]
99,12642,0.012642,[1]
100,12494,0.012494,[0]
101,11838,0.011838,[1]
102,11513,0.011513,[0]
103,11450,0.01145,[1]
