[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Curtin,Dom,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_090932_Curtin_Dom_pirhanaSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,9803,0.009803,[0]
195,9673,0.009673,[1]
196,9884,0.009884,[0]
197,9775,0.009775,[1]
198,9856,0.009856,[0]
199,9970,0.00997,[1]
200,10541,0.010541,[0]
201,10750,0.01075,[1]
202,10624,0.010624,[0]
203,10561,0.010561,[1]
204,10677,0.010677,[0]
205,10763,0.010763,[1]
206,10456,0.010456,[0]
207,10344,0.010344,[1]
208,10414,0.010414,[0]
209,10708,0.010708,[1]
210,10468,0.010468,[0]
211,10490,0.01049,[1]
212,10261,0.010261,[0]
213,9952,0.009952,[1]
214,9737,0.009737,[0]
215,9752,0.009752,[1]
216,9669,0.009669,[0]
217,9826,0.009826,[1]
218,9728,0.009728,[0]
219,9535,0.009535,[1]
220,9278,0.009278,[0]
221,9195,0.009195,[1]
222,9073,0.009073,[0]
223,8866,0.008866,[1]
224,8835,0.008835,[0]
225,8839,0.008839,[1]
226,8782,0.008782,[0]
227,8633,0.008633,[1]
228,8614,0.008614,[0]
229,8392,0.008392,[1]
230,8298,0.008298,[0]
231,8137,0.008137,[1]
232,8112,0.008112,[0]
233,8070,0.00807,[1]
234,8218,0.008218,[0]
235,8301,0.008301,[1]
236,8337,0.008337,[0]
237,8522,0.008522,[1]
238,8712,0.008712,[0]
239,8592,0.008592,[1]
240,8538,0.008538,[0]
241,8483,0.008483,[1]
242,8225,0.008225,[0]
243,8091,0.008091,[1]
244,8141,0.008141,[0]
245,8442,0.008442,[1]
246,8597,0.008597,[0]
247,9112,0.009112,[1]
248,9327,0.009327,[0]
249,9578,0.009578,[1]
250,9358,0.009358,[0]
251,9502,0.009502,[1]
252,9553,0.009553,[0]
253,9999,0.009999,[1]
254,9804,0.009804,[0]
255,10014,0.010014,[1]
256,10117,0.010117,[0]
257,10532,0.010532,[1]
258,10150,0.01015,[0]
259,10230,0.01023,[1]
260,10752,0.010752,[0]
261,10748,0.010748,[1]
262,10521,0.010521,[0]
263,10725,0.010725,[1]
264,10711,0.010711,[0]
265,10525,0.010525,[1]
266,10316,0.010316,[0]
267,10171,0.010171,[1]
268,9994,0.009994,[0]
269,9848,0.009848,[1]
270,9753,0.009753,[0]
271,9626,0.009626,[1]
272,9533,0.009533,[0]
273,9281,0.009281,[1]
274,9120,0.00912,[0]
275,9035,0.009035,[1]
276,8953,0.008953,[0]
277,8726,0.008726,[1]
278,8618,0.008618,[0]
279,8532,0.008532,[1]
280,8524,0.008524,[0]
281,8683,0.008683,[1]
282,9002,0.009002,[0]
283,9129,0.009129,[1]
284,8928,0.008928,[0]
285,8626,0.008626,[1]
286,8366,0.008366,[0]
287,8327,0.008327,[1]
288,8197,0.008197,[0]
289,8299,0.008299,[1]
290,8764,0.008764,[0]
291,9113,0.009113,[1]
292,9110,0.00911,[0]
293,8954,0.008954,[1]
294,8712,0.008712,[0]
