[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092024_Long_Merle_205Paddle80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
195,13119,0.013119,[1]
196,12606,0.012606,[0]
197,12162,0.012162,[1]
198,11904,0.011904,[0]
199,11591,0.011591,[1]
200,11703,0.011703,[0]
201,11461,0.011461,[1]
202,11142,0.011142,[0]
203,10993,0.010993,[1]
204,10899,0.010899,[0]
205,10829,0.010829,[1]
206,10685,0.010685,[0]
207,10265,0.010265,[1]
208,10059,0.010059,[0]
209,10197,0.010197,[1]
210,10180,0.01018,[0]
211,9852,0.009852,[1]
212,9723,0.009723,[0]
213,9561,0.009561,[1]
214,9209,0.009209,[0]
215,9082,0.009082,[1]
216,9438,0.009438,[0]
217,9786,0.009786,[1]
218,10173,0.010173,[0]
219,10455,0.010455,[1]
220,10509,0.010509,[0]
221,10496,0.010496,[1]
222,10099,0.010099,[0]
223,9604,0.009604,[1]
224,9263,0.009263,[0]
225,9182,0.009182,[1]
226,8950,0.00895,[0]
227,9144,0.009144,[1]
228,9191,0.009191,[0]
229,8889,0.008889,[1]
230,9142,0.009142,[0]
231,9435,0.009435,[1]
232,9377,0.009377,[0]
233,9158,0.009158,[1]
234,9167,0.009167,[0]
235,9670,0.00967,[1]
236,9599,0.009599,[0]
237,9357,0.009357,[1]
238,9490,0.00949,[0]
239,9309,0.009309,[1]
240,9590,0.00959,[0]
241,9571,0.009571,[1]
242,9937,0.009937,[0]
243,9951,0.009951,[1]
244,10078,0.010078,[0]
245,10072,0.010072,[1]
246,9806,0.009806,[0]
247,10403,0.010403,[1]
248,10511,0.010511,[0]
249,10470,0.01047,[1]
250,10936,0.010936,[0]
251,10625,0.010625,[1]
252,10312,0.010312,[0]
253,10133,0.010133,[1]
254,10540,0.01054,[0]
255,11097,0.011097,[1]
256,11236,0.011236,[0]
257,11411,0.011411,[1]
258,11209,0.011209,[0]
259,11058,0.011058,[1]
260,11029,0.011029,[0]
261,11054,0.011054,[1]
262,11752,0.011752,[0]
263,11553,0.011553,[1]
264,11449,0.011449,[0]
265,11662,0.011662,[1]
266,11646,0.011646,[0]
267,11312,0.011312,[1]
268,11235,0.011235,[0]
269,11293,0.011293,[1]
270,11464,0.011464,[0]
271,11508,0.011508,[1]
272,11265,0.011265,[0]
273,11365,0.011365,[1]
274,10948,0.010948,[0]
275,10672,0.010672,[1]
276,10505,0.010505,[0]
277,10362,0.010362,[1]
278,10154,0.010154,[0]
279,9877,0.009877,[1]
280,9748,0.009748,[0]
281,9719,0.009719,[1]
282,9480,0.00948,[0]
283,9252,0.009252,[1]
284,9056,0.009056,[0]
285,8873,0.008873,[1]
286,8877,0.008877,[0]
287,8655,0.008655,[1]
288,8572,0.008572,[0]
289,8548,0.008548,[1]
290,8608,0.008608,[0]
291,8611,0.008611,[1]
292,8510,0.00851,[0]
293,8656,0.008656,[1]
294,8781,0.008781,[0]
295,8848,0.008848,[1]
296,9013,0.009013,[0]
297,9121,0.009121,[1]
298,9027,0.009027,[0]
299,8836,0.008836,[1]
300,8558,0.008558,[0]
301,8553,0.008553,[1]
302,8433,0.008433,[0]
303,8373,0.008373,[1]
304,8472,0.008472,[0]
305,8657,0.008657,[1]
306,8765,0.008765,[0]
307,8774,0.008774,[1]
308,8725,0.008725,[0]
309,8670,0.00867,[1]
310,8672,0.008672,[0]
311,8582,0.008582,[1]
312,8564,0.008564,[0]
313,8760,0.00876,[1]
314,8978,0.008978,[0]
315,9080,0.00908,[1]
316,9107,0.009107,[0]
317,9056,0.009056,[1]
318,9170,0.00917,[0]
319,9039,0.009039,[1]
320,9240,0.00924,[0]
321,9257,0.009257,[1]
322,9289,0.009289,[0]
323,9528,0.009528,[1]
324,9750,0.00975,[0]
325,9866,0.009866,[1]
326,10057,0.010057,[0]
327,9986,0.009986,[1]
328,10091,0.010091,[0]
