[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_084419_Long_Merle_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
195,7383,0.007383,[1]
196,7373,0.007373,[0]
197,7465,0.007465,[1]
198,7383,0.007383,[0]
199,7289,0.007289,[1]
200,7356,0.007356,[0]
201,7103,0.007103,[1]
202,6983,0.006983,[0]
203,7099,0.007099,[1]
204,7137,0.007137,[0]
205,6994,0.006994,[1]
206,7069,0.007069,[0]
207,7119,0.007119,[1]
208,7376,0.007376,[0]
209,7583,0.007583,[1]
210,7771,0.007771,[0]
211,7810,0.00781,[1]
212,7968,0.007968,[0]
213,7916,0.007916,[1]
214,7920,0.00792,[0]
215,8182,0.008182,[1]
216,8459,0.008459,[0]
217,8500,0.0085,[1]
218,8449,0.008449,[0]
219,8340,0.00834,[1]
220,8596,0.008596,[0]
221,8721,0.008721,[1]
222,8947,0.008947,[0]
223,9429,0.009429,[1]
224,9440,0.00944,[0]
225,9510,0.00951,[1]
226,9696,0.009696,[0]
227,9452,0.009452,[1]
228,9614,0.009614,[0]
229,9856,0.009856,[1]
230,9871,0.009871,[0]
231,9725,0.009725,[1]
232,9447,0.009447,[0]
233,9315,0.009315,[1]
234,10029,0.010029,[0]
235,10418,0.010418,[1]
236,9883,0.009883,[0]
237,9285,0.009285,[1]
238,8972,0.008972,[0]
239,8528,0.008528,[1]
240,8220,0.00822,[0]
241,8216,0.008216,[1]
242,8072,0.008072,[0]
243,8244,0.008244,[1]
244,8688,0.008688,[0]
245,8794,0.008794,[1]
246,8490,0.00849,[0]
247,8264,0.008264,[1]
248,8111,0.008111,[0]
249,7818,0.007818,[1]
250,7564,0.007564,[0]
251,7513,0.007513,[1]
252,7796,0.007796,[0]
253,8199,0.008199,[1]
254,8351,0.008351,[0]
255,8409,0.008409,[1]
256,8464,0.008464,[0]
257,8367,0.008367,[1]
