[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092406_Long_Merle_205PaddleSelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,8747,0.008747,[0]
195,8765,0.008765,[1]
196,8782,0.008782,[0]
197,8933,0.008933,[1]
198,9015,0.009015,[0]
199,8916,0.008916,[1]
200,9136,0.009136,[0]
201,9723,0.009723,[1]
202,9588,0.009588,[0]
203,9254,0.009254,[1]
204,9120,0.00912,[0]
205,9289,0.009289,[1]
206,9815,0.009815,[0]
207,10032,0.010032,[1]
208,9871,0.009871,[0]
209,9787,0.009787,[1]
210,9813,0.009813,[0]
211,9908,0.009908,[1]
212,10384,0.010384,[0]
213,10804,0.010804,[1]
214,10661,0.010661,[0]
215,10804,0.010804,[1]
216,10917,0.010917,[0]
217,10890,0.01089,[1]
218,10765,0.010765,[0]
219,10768,0.010768,[1]
220,10774,0.010774,[0]
221,10678,0.010678,[1]
222,10739,0.010739,[0]
223,10617,0.010617,[1]
224,10434,0.010434,[0]
225,10264,0.010264,[1]
226,9981,0.009981,[0]
227,9762,0.009762,[1]
228,9538,0.009538,[0]
229,9337,0.009337,[1]
230,9283,0.009283,[0]
231,9194,0.009194,[1]
232,9062,0.009062,[0]
233,8893,0.008893,[1]
234,8819,0.008819,[0]
235,8780,0.00878,[1]
236,8722,0.008722,[0]
237,8663,0.008663,[1]
238,8565,0.008565,[0]
239,8437,0.008437,[1]
240,8330,0.00833,[0]
241,8362,0.008362,[1]
242,8401,0.008401,[0]
243,8191,0.008191,[1]
244,8110,0.00811,[0]
245,8215,0.008215,[1]
246,8249,0.008249,[0]
247,8137,0.008137,[1]
248,8151,0.008151,[0]
249,8242,0.008242,[1]
250,8320,0.00832,[0]
251,8221,0.008221,[1]
252,8514,0.008514,[0]
253,8808,0.008808,[1]
254,8848,0.008848,[0]
255,8944,0.008944,[1]
256,9079,0.009079,[0]
257,8909,0.008909,[1]
258,8616,0.008616,[0]
259,8446,0.008446,[1]
260,8326,0.008326,[0]
261,8287,0.008287,[1]
262,8554,0.008554,[0]
263,8633,0.008633,[1]
264,8985,0.008985,[0]
265,8909,0.008909,[1]
266,8891,0.008891,[0]
267,9407,0.009407,[1]
268,9479,0.009479,[0]
269,9461,0.009461,[1]
270,9443,0.009443,[0]
271,9917,0.009917,[1]
272,9805,0.009805,[0]
273,9685,0.009685,[1]
274,9767,0.009767,[0]
275,9934,0.009934,[1]
276,9773,0.009773,[0]
277,9948,0.009948,[1]
278,10152,0.010152,[0]
279,10339,0.010339,[1]
280,10505,0.010505,[0]
281,10630,0.01063,[1]
282,10379,0.010379,[0]
283,9931,0.009931,[1]
284,9617,0.009617,[0]
285,9561,0.009561,[1]
286,9630,0.00963,[0]
287,9605,0.009605,[1]
288,9382,0.009382,[0]
