[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_092751_Long_Merle_205PaddleMaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,7800,0.0078,[0]
195,7801,0.007801,[1]
196,7682,0.007682,[0]
197,7725,0.007725,[1]
198,7934,0.007934,[0]
199,8390,0.00839,[1]
200,8367,0.008367,[0]
201,8505,0.008505,[1]
202,8721,0.008721,[0]
203,8715,0.008715,[1]
204,8541,0.008541,[0]
205,8419,0.008419,[1]
206,8336,0.008336,[0]
207,8405,0.008405,[1]
208,8625,0.008625,[0]
209,9447,0.009447,[1]
210,9780,0.00978,[0]
211,9768,0.009768,[1]
212,10036,0.010036,[0]
213,10561,0.010561,[1]
214,10252,0.010252,[0]
215,9785,0.009785,[1]
216,9337,0.009337,[0]
217,8976,0.008976,[1]
218,8690,0.00869,[0]
219,8456,0.008456,[1]
220,8619,0.008619,[0]
221,8487,0.008487,[1]
222,8303,0.008303,[0]
223,8146,0.008146,[1]
224,8167,0.008167,[0]
225,8009,0.008009,[1]
226,7785,0.007785,[0]
227,7758,0.007758,[1]
228,7801,0.007801,[0]
229,7719,0.007719,[1]
230,7746,0.007746,[0]
231,7750,0.00775,[1]
232,7636,0.007636,[0]
233,7612,0.007612,[1]
234,7566,0.007566,[0]
235,7500,0.0075,[1]
236,7425,0.007425,[0]
237,7303,0.007303,[1]
238,7277,0.007277,[0]
239,7463,0.007463,[1]
240,7472,0.007472,[0]
241,7331,0.007331,[1]
242,7203,0.007203,[0]
243,7273,0.007273,[1]
244,7381,0.007381,[0]
245,7335,0.007335,[1]
246,7611,0.007611,[0]
247,7826,0.007826,[1]
248,8187,0.008187,[0]
249,8063,0.008063,[1]
250,8179,0.008179,[0]
251,8316,0.008316,[1]
252,8581,0.008581,[0]
253,8688,0.008688,[1]
254,9006,0.009006,[0]
255,8990,0.00899,[1]
256,8802,0.008802,[0]
257,8945,0.008945,[1]
258,9312,0.009312,[0]
259,9239,0.009239,[1]
260,9086,0.009086,[0]
261,9092,0.009092,[1]
262,9025,0.009025,[0]
263,8997,0.008997,[1]
264,8766,0.008766,[0]
265,8465,0.008465,[1]
266,8261,0.008261,[0]
267,8112,0.008112,[1]
268,8201,0.008201,[0]
269,8315,0.008315,[1]
270,8246,0.008246,[0]
271,8062,0.008062,[1]
272,7953,0.007953,[0]
273,7840,0.00784,[1]
274,7655,0.007655,[0]
275,7580,0.00758,[1]
276,7530,0.00753,[0]
277,7468,0.007468,[1]
278,7702,0.007702,[0]
279,7702,0.007702,[1]
280,7636,0.007636,[0]
281,7550,0.00755,[1]
282,7488,0.007488,[0]
283,7455,0.007455,[1]
284,7420,0.00742,[0]
285,7445,0.007445,[1]
286,7403,0.007403,[0]
287,7462,0.007462,[1]
288,7457,0.007457,[0]
289,7512,0.007512,[1]
290,7533,0.007533,[0]
291,7518,0.007518,[1]
292,7599,0.007599,[0]
293,7707,0.007707,[1]
294,8076,0.008076,[0]
295,8364,0.008364,[1]
296,8332,0.008332,[0]
297,8296,0.008296,[1]
298,8266,0.008266,[0]
299,8181,0.008181,[1]
300,8167,0.008167,[0]
301,8265,0.008265,[1]
302,8724,0.008724,[0]
303,9181,0.009181,[1]
304,9121,0.009121,[0]
305,9007,0.009007,[1]
306,8865,0.008865,[0]
307,8741,0.008741,[1]
308,8593,0.008593,[0]
309,8501,0.008501,[1]
310,8545,0.008545,[0]
311,8514,0.008514,[1]
312,8424,0.008424,[0]
313,8422,0.008422,[1]
314,8326,0.008326,[0]
315,8197,0.008197,[1]
316,8042,0.008042,[0]
317,7999,0.007999,[1]
318,7896,0.007896,[0]
319,7650,0.00765,[1]
320,7765,0.007765,[0]
321,7756,0.007756,[1]
322,7652,0.007652,[0]
323,7547,0.007547,[1]
324,7594,0.007594,[0]
325,7587,0.007587,[1]
326,7414,0.007414,[0]
327,7277,0.007277,[1]
328,7367,0.007367,[0]
329,7474,0.007474,[1]
330,7633,0.007633,[0]
331,7704,0.007704,[1]
332,7722,0.007722,[0]
333,7643,0.007643,[1]
334,7566,0.007566,[0]
335,7473,0.007473,[1]
336,7755,0.007755,[0]
337,8068,0.008068,[1]
338,8005,0.008005,[0]
339,7999,0.007999,[1]
340,8093,0.008093,[0]
341,8143,0.008143,[1]
342,8128,0.008128,[0]
343,8247,0.008247,[1]
344,8398,0.008398,[0]
345,8864,0.008864,[1]
346,8818,0.008818,[0]
347,9624,0.009624,[1]
348,10470,0.01047,[0]
349,9978,0.009978,[1]
350,9867,0.009867,[0]
351,9359,0.009359,[1]
352,8874,0.008874,[0]
353,8515,0.008515,[1]
354,8181,0.008181,[0]
355,8048,0.008048,[1]
356,7844,0.007844,[0]
357,8015,0.008015,[1]
358,8283,0.008283,[0]
359,8623,0.008623,[1]
