[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_083124_Long_Merle_60SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
195,12290,0.01229,[1]
196,11856,0.011856,[0]
197,11978,0.011978,[1]
198,12687,0.012687,[0]
199,12485,0.012485,[1]
200,12167,0.012167,[0]
201,12048,0.012048,[1]
202,11901,0.011901,[0]
203,11596,0.011596,[1]
204,11404,0.011404,[0]
205,12148,0.012148,[1]
206,12083,0.012083,[0]
207,11913,0.011913,[1]
208,11536,0.011536,[0]
209,11308,0.011308,[1]
210,11928,0.011928,[0]
211,11532,0.011532,[1]
212,11188,0.011188,[0]
213,10841,0.010841,[1]
214,10312,0.010312,[0]
215,10217,0.010217,[1]
216,10192,0.010192,[0]
217,10498,0.010498,[1]
218,10631,0.010631,[0]
219,10786,0.010786,[1]
220,10882,0.010882,[0]
221,10615,0.010615,[1]
222,10081,0.010081,[0]
223,9952,0.009952,[1]
224,10067,0.010067,[0]
225,10151,0.010151,[1]
226,10149,0.010149,[0]
227,10337,0.010337,[1]
228,10755,0.010755,[0]
229,10531,0.010531,[1]
230,10020,0.01002,[0]
231,10128,0.010128,[1]
232,10147,0.010147,[0]
233,10221,0.010221,[1]
234,10320,0.01032,[0]
235,10480,0.01048,[1]
236,10624,0.010624,[0]
237,10830,0.01083,[1]
238,11083,0.011083,[0]
239,10884,0.010884,[1]
240,10469,0.010469,[0]
241,10235,0.010235,[1]
242,10133,0.010133,[0]
243,10638,0.010638,[1]
244,11346,0.011346,[0]
245,11690,0.01169,[1]
246,11507,0.011507,[0]
247,11264,0.011264,[1]
248,11069,0.011069,[0]
249,10852,0.010852,[1]
250,11214,0.011214,[0]
251,11472,0.011472,[1]
252,11987,0.011987,[0]
253,11942,0.011942,[1]
254,11594,0.011594,[0]
255,11452,0.011452,[1]
256,11798,0.011798,[0]
257,12085,0.012085,[1]
258,11986,0.011986,[0]
259,11913,0.011913,[1]
260,12371,0.012371,[0]
261,12229,0.012229,[1]
262,12522,0.012522,[0]
263,12465,0.012465,[1]
264,12498,0.012498,[0]
265,12262,0.012262,[1]
266,12782,0.012782,[0]
267,13333,0.013333,[1]
268,13455,0.013455,[0]
269,13107,0.013107,[1]
270,13761,0.013761,[0]
271,13873,0.013873,[1]
272,13985,0.013985,[0]
273,13750,0.01375,[1]
274,13363,0.013363,[0]
275,14058,0.014058,[1]
276,13891,0.013891,[0]
277,13864,0.013864,[1]
278,13608,0.013608,[0]
279,13218,0.013218,[1]
280,13308,0.013308,[0]
281,13061,0.013061,[1]
282,12486,0.012486,[0]
283,11981,0.011981,[1]
284,11391,0.011391,[0]
285,11329,0.011329,[1]
286,11000,0.011,[0]
287,10683,0.010683,[1]
288,10467,0.010467,[0]
289,10529,0.010529,[1]
290,10433,0.010433,[0]
291,10384,0.010384,[1]
292,10179,0.010179,[0]
293,9987,0.009987,[1]
294,9740,0.00974,[0]
295,9589,0.009589,[1]
296,9363,0.009363,[0]
297,9250,0.00925,[1]
298,9428,0.009428,[0]
299,9557,0.009557,[1]
300,9704,0.009704,[0]
301,9428,0.009428,[1]
302,9395,0.009395,[0]
303,9389,0.009389,[1]
304,9237,0.009237,[0]
305,9314,0.009314,[1]
306,9113,0.009113,[0]
307,9409,0.009409,[1]
308,9413,0.009413,[0]
309,9141,0.009141,[1]
310,9321,0.009321,[0]
311,9473,0.009473,[1]
312,9381,0.009381,[0]
313,9286,0.009286,[1]
314,9432,0.009432,[0]
315,9173,0.009173,[1]
316,9014,0.009014,[0]
317,9300,0.0093,[1]
318,10142,0.010142,[0]
319,10030,0.01003,[1]
320,9645,0.009645,[0]
321,9688,0.009688,[1]
322,9574,0.009574,[0]
323,9252,0.009252,[1]
324,9178,0.009178,[0]
325,9458,0.009458,[1]
326,9871,0.009871,[0]
327,10079,0.010079,[1]
328,10038,0.010038,[0]
329,10655,0.010655,[1]
330,10511,0.010511,[0]
331,10107,0.010107,[1]
332,10336,0.010336,[0]
333,10725,0.010725,[1]
334,10470,0.01047,[0]
335,10131,0.010131,[1]
336,10358,0.010358,[0]
337,10677,0.010677,[1]
338,10767,0.010767,[0]
339,10702,0.010702,[1]
340,11594,0.011594,[0]
341,12439,0.012439,[1]
342,12283,0.012283,[0]
343,12240,0.01224,[1]
344,11970,0.01197,[0]
345,11331,0.011331,[1]
346,10637,0.010637,[0]
347,10932,0.010932,[1]
348,11254,0.011254,[0]
349,11064,0.011064,[1]
350,11487,0.011487,[0]
351,11522,0.011522,[1]
352,11826,0.011826,[0]
353,11617,0.011617,[1]
354,11852,0.011852,[0]
355,12009,0.012009,[1]
356,12173,0.012173,[0]
357,11641,0.011641,[1]
358,11827,0.011827,[0]
359,11949,0.011949,[1]
360,12179,0.012179,[0]
361,11720,0.01172,[1]
362,12199,0.012199,[0]
363,12655,0.012655,[1]
364,12209,0.012209,[0]
365,11969,0.011969,[1]
366,12183,0.012183,[0]
367,12235,0.012235,[1]
368,12311,0.012311,[0]
369,11955,0.011955,[1]
370,11825,0.011825,[0]
371,11363,0.011363,[1]
372,11029,0.011029,[0]
373,11044,0.011044,[1]
374,10700,0.0107,[0]
375,10567,0.010567,[1]
376,10078,0.010078,[0]
377,10087,0.010087,[1]
378,10209,0.010209,[0]
379,9694,0.009694,[1]
380,9498,0.009498,[0]
381,9564,0.009564,[1]
382,9824,0.009824,[0]
383,9579,0.009579,[1]
384,9363,0.009363,[0]
385,9162,0.009162,[1]
386,9438,0.009438,[0]
387,9354,0.009354,[1]
388,9120,0.00912,[0]
389,8951,0.008951,[1]
390,8758,0.008758,[0]
391,8869,0.008869,[1]
392,9272,0.009272,[0]
393,9182,0.009182,[1]
394,9180,0.00918,[0]
395,9022,0.009022,[1]
396,8772,0.008772,[0]
397,8610,0.00861,[1]
398,8513,0.008513,[0]
399,8878,0.008878,[1]
400,9044,0.009044,[0]
401,9136,0.009136,[1]
402,9127,0.009127,[0]
403,9133,0.009133,[1]
404,8820,0.00882,[0]
405,8844,0.008844,[1]
406,8693,0.008693,[0]
407,8798,0.008798,[1]
408,8804,0.008804,[0]
409,9168,0.009168,[1]
410,9322,0.009322,[0]
411,9285,0.009285,[1]
412,9619,0.009619,[0]
413,9596,0.009596,[1]
414,9604,0.009604,[0]
415,9833,0.009833,[1]
416,9625,0.009625,[0]
417,9473,0.009473,[1]
418,10012,0.010012,[0]
419,9997,0.009997,[1]
420,9751,0.009751,[0]
421,9538,0.009538,[1]
422,9819,0.009819,[0]
423,9798,0.009798,[1]
424,9937,0.009937,[0]
425,10264,0.010264,[1]
426,10449,0.010449,[0]
427,10563,0.010563,[1]
428,10590,0.01059,[0]
429,10550,0.01055,[1]
430,10494,0.010494,[0]
431,10411,0.010411,[1]
432,10345,0.010345,[0]
433,10723,0.010723,[1]
434,10824,0.010824,[0]
435,11118,0.011118,[1]
436,10862,0.010862,[0]
437,10830,0.01083,[1]
438,11134,0.011134,[0]
439,11190,0.01119,[1]
440,11068,0.011068,[0]
441,11019,0.011019,[1]
442,11052,0.011052,[0]
443,10928,0.010928,[1]
444,11130,0.01113,[0]
445,11668,0.011668,[1]
446,11988,0.011988,[0]
447,11711,0.011711,[1]
448,11792,0.011792,[0]
449,11609,0.011609,[1]
450,11607,0.011607,[0]
451,11288,0.011288,[1]
452,11458,0.011458,[0]
453,12139,0.012139,[1]
454,11996,0.011996,[0]
455,12022,0.012022,[1]
456,11941,0.011941,[0]
457,11932,0.011932,[1]
458,11951,0.011951,[0]
459,11835,0.011835,[1]
460,11874,0.011874,[0]
461,11848,0.011848,[1]
462,11887,0.011887,[0]
463,12410,0.01241,[1]
464,12335,0.012335,[0]
465,11851,0.011851,[1]
466,11348,0.011348,[0]
467,11173,0.011173,[1]
468,10992,0.010992,[0]
469,10574,0.010574,[1]
470,10539,0.010539,[0]
471,10523,0.010523,[1]
472,10406,0.010406,[0]
473,10492,0.010492,[1]
474,10528,0.010528,[0]
475,10547,0.010547,[1]
476,10185,0.010185,[0]
477,10616,0.010616,[1]
478,10785,0.010785,[0]
479,10679,0.010679,[1]
480,10146,0.010146,[0]
481,9712,0.009712,[1]
482,9452,0.009452,[0]
483,9246,0.009246,[1]
