[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_083931_Long_Merle_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
195,8779,0.008779,[1]
196,8721,0.008721,[0]
197,8762,0.008762,[1]
198,8857,0.008857,[0]
199,8705,0.008705,[1]
200,9088,0.009088,[0]
201,9534,0.009534,[1]
202,10249,0.010249,[0]
203,10267,0.010267,[1]
204,9998,0.009998,[0]
205,10083,0.010083,[1]
206,9892,0.009892,[0]
207,9945,0.009945,[1]
208,9824,0.009824,[0]
209,11026,0.011026,[1]
210,11607,0.011607,[0]
211,10672,0.010672,[1]
212,10022,0.010022,[0]
213,9418,0.009418,[1]
214,9003,0.009003,[0]
215,8705,0.008705,[1]
216,8421,0.008421,[0]
217,8499,0.008499,[1]
218,8874,0.008874,[0]
219,9603,0.009603,[1]
220,9111,0.009111,[0]
221,8481,0.008481,[1]
222,8181,0.008181,[0]
223,7857,0.007857,[1]
224,7589,0.007589,[0]
225,7500,0.0075,[1]
226,7467,0.007467,[0]
227,7365,0.007365,[1]
228,7426,0.007426,[0]
229,7733,0.007733,[1]
230,7704,0.007704,[0]
231,7654,0.007654,[1]
232,7611,0.007611,[0]
