[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Long,Merle,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_083931_Long_Merle_SelfSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
530,8172,0.008172,[0]
531,8146,0.008146,[1]
532,8073,0.008073,[0]
533,7918,0.007918,[1]
534,8252,0.008252,[0]
535,8702,0.008702,[1]
536,8776,0.008776,[0]
537,9718,0.009718,[1]
538,9807,0.009807,[0]
539,9557,0.009557,[1]
540,8944,0.008944,[0]
541,8381,0.008381,[1]
542,7966,0.007966,[0]
543,7607,0.007607,[1]
544,7429,0.007429,[0]
545,7477,0.007477,[1]
546,7576,0.007576,[0]
547,8053,0.008053,[1]
548,8649,0.008649,[0]
549,9081,0.009081,[1]
550,9310,0.00931,[0]
551,9860,0.00986,[1]
552,9894,0.009894,[0]
553,9743,0.009743,[1]
554,9445,0.009445,[0]
555,9090,0.00909,[1]
556,9040,0.00904,[0]
557,8773,0.008773,[1]
558,8989,0.008989,[0]
559,9424,0.009424,[1]
560,9781,0.009781,[0]
561,9975,0.009975,[1]
562,10365,0.010365,[0]
563,10222,0.010222,[1]
564,9943,0.009943,[0]
565,9789,0.009789,[1]
566,9705,0.009705,[0]
567,9638,0.009638,[1]
568,9305,0.009305,[0]
569,9291,0.009291,[1]
570,9184,0.009184,[0]
571,9188,0.009188,[1]
572,8760,0.00876,[0]
573,8741,0.008741,[1]
574,8594,0.008594,[0]
575,8323,0.008323,[1]
576,7985,0.007985,[0]
577,7724,0.007724,[1]
578,7532,0.007532,[0]
579,7450,0.00745,[1]
580,7476,0.007476,[0]
581,7591,0.007591,[1]
582,7678,0.007678,[0]
583,7615,0.007615,[1]
584,7705,0.007705,[0]
585,8026,0.008026,[1]
586,7941,0.007941,[0]
587,7889,0.007889,[1]
588,7778,0.007778,[0]
589,8096,0.008096,[1]
590,7929,0.007929,[0]
591,7613,0.007613,[1]
592,7573,0.007573,[0]
593,7458,0.007458,[1]
594,7279,0.007279,[0]
595,7100,0.0071,[1]
596,6946,0.006946,[0]
597,6864,0.006864,[1]
598,6917,0.006917,[0]
599,7294,0.007294,[1]
600,7431,0.007431,[0]
601,7602,0.007602,[1]
602,7846,0.007846,[0]
603,7851,0.007851,[1]
604,7864,0.007864,[0]
605,7932,0.007932,[1]
606,8293,0.008293,[0]
607,8419,0.008419,[1]
