[APPLICATION_METADATA_BEGIN],,,
CaptureSoftwareApp,RXCaptureApp,,
CaptureSoftwareVersion,21.9.5.0,,
CaptureAppSport,RX_ALLSPORTS,,
[APPLICATION_METADATA_END],,,
[DEVICE_METADATA_BEGIN],,,
[[METADATA_BEGIN],,,
Owner,<Paddle Aust>,,
PurchaseDate,<20230112-1>,,
WEB,AMRSport.com,,
DeviceName,Hornet-2011,,
BuildDate,<20110101>,,
FirmwareVersion,190902,,
WheelCircumferenceMeters,0.1,,
EncoderPulsesPerRev,10,,
TimeStampEvent_EveryNEncoderPulses,2,,
ClockHz,1000000,,
CalibrationScale,0.998,,
[METADATA_END],,,
[DEVICE_METADATA_END],,,
[TRIAL_META_DATA_BEGIN],,,
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100,,
AutoStopDistance,100,,
TrialFilename,20251029_080456_Crosbee_Mark_80SR,,
ZeroOffsetIdx,1,,
[TRIAL_META_DATA_END],,,
[TRIAL_DATA_BEGIN],,,
TimeStampEvent,Ticks,Seconds,
0,47055,0.047055,[0]
1,20691,0.020691,[1]
2,15621,0.015621,[0]
3,17825,0.017825,[1]
4,18796,0.018796,[0]
5,18880,0.01888,[1]
6,19988,0.019988,[0]
7,22587,0.022587,[1]
8,22009,0.022009,[0]
9,24173,0.024173,[1]
10,27478,0.027478,[0]
11,26042,0.026042,[1]
12,25248,0.025248,[0]
13,25555,0.025555,[1]
14,27350,0.02735,[0]
15,29029,0.029029,[1]
16,29394,0.029394,[0]
17,29276,0.029276,[1]
18,28750,0.02875,[0]
19,28728,0.028728,[1]
20,26530,0.02653,[0]
21,24988,0.024988,[1]
22,23688,0.023688,[0]
23,22823,0.022823,[1]
24,20296,0.020296,[0]
25,18680,0.01868,[1]
26,17885,0.017885,[0]
27,17099,0.017099,[1]
28,15602,0.015602,[0]
29,14920,0.01492,[1]
30,14272,0.014272,[0]
31,14047,0.014047,[1]
32,13657,0.013657,[0]
33,13661,0.013661,[1]
34,14096,0.014096,[0]
35,14166,0.014166,[1]
36,13849,0.013849,[0]
37,14421,0.014421,[1]
38,14395,0.014395,[0]
39,15144,0.015144,[1]
40,14698,0.014698,[0]
41,14962,0.014962,[1]
42,15107,0.015107,[0]
43,14876,0.014876,[1]
44,14712,0.014712,[0]
45,15056,0.015056,[1]
46,14146,0.014146,[0]
47,13631,0.013631,[1]
48,13522,0.013522,[0]
49,13372,0.013372,[1]
50,13138,0.013138,[0]
51,13177,0.013177,[1]
52,13132,0.013132,[0]
53,12837,0.012837,[1]
54,13094,0.013094,[0]
55,12499,0.012499,[1]
56,12500,0.0125,[0]
57,12369,0.012369,[1]
58,12556,0.012556,[0]
59,12300,0.0123,[1]
60,12560,0.01256,[0]
61,12193,0.012193,[1]
62,12412,0.012412,[0]
63,12194,0.012194,[1]
64,12350,0.01235,[0]
65,11906,0.011906,[1]
66,11520,0.01152,[0]
67,12748,0.012748,[1]
68,13705,0.013705,[0]
69,12771,0.012771,[1]
70,11297,0.011297,[0]
71,10540,0.01054,[1]
72,10186,0.010186,[0]
73,10369,0.010369,[1]
74,10954,0.010954,[0]
75,10643,0.010643,[1]
76,10614,0.010614,[0]
77,10447,0.010447,[1]
78,10815,0.010815,[0]
79,11233,0.011233,[1]
80,10986,0.010986,[0]
81,10962,0.010962,[1]
82,10959,0.010959,[0]
83,11315,0.011315,[1]
84,11461,0.011461,[0]
85,11575,0.011575,[1]
86,11616,0.011616,[0]
87,11546,0.011546,[1]
88,11388,0.011388,[0]
89,11558,0.011558,[1]
90,11599,0.011599,[0]
91,12150,0.01215,[1]
92,11869,0.011869,[0]
93,12210,0.01221,[1]
94,12569,0.012569,[0]
95,12347,0.012347,[1]
96,12020,0.01202,[0]
97,12083,0.012083,[1]
98,11830,0.01183,[0]
99,11672,0.011672,[1]
100,11592,0.011592,[0]
101,11668,0.011668,[1]
102,11498,0.011498,[0]
103,11387,0.011387,[1]
104,11287,0.011287,[0]
105,10997,0.010997,[1]
