[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_085918_Davidson_Codie_pirhanaMaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
165,8897,0.008897,[1]
166,9332,0.009332,[0]
167,9374,0.009374,[1]
168,9552,0.009552,[0]
169,9706,0.009706,[1]
170,9659,0.009659,[0]
171,9504,0.009504,[1]
172,9365,0.009365,[0]
173,9807,0.009807,[1]
174,10859,0.010859,[0]
175,11180,0.01118,[1]
176,11440,0.01144,[0]
177,12217,0.012217,[1]
178,12097,0.012097,[0]
179,11275,0.011275,[1]
180,10919,0.010919,[0]
181,10474,0.010474,[1]
182,10340,0.01034,[0]
183,10351,0.010351,[1]
184,10998,0.010998,[0]
185,11665,0.011665,[1]
186,12164,0.012164,[0]
187,11913,0.011913,[1]
188,12191,0.012191,[0]
189,11785,0.011785,[1]
190,11250,0.01125,[0]
191,11405,0.011405,[1]
192,11478,0.011478,[0]
193,11208,0.011208,[1]
194,10976,0.010976,[0]
195,10890,0.01089,[1]
196,10758,0.010758,[0]
197,10376,0.010376,[1]
198,9870,0.00987,[0]
199,9733,0.009733,[1]
200,9608,0.009608,[0]
201,9527,0.009527,[1]
202,9271,0.009271,[0]
203,9049,0.009049,[1]
204,9195,0.009195,[0]
205,9175,0.009175,[1]
206,8967,0.008967,[0]
207,8824,0.008824,[1]
208,8903,0.008903,[0]
209,8743,0.008743,[1]
210,8613,0.008613,[0]
211,8706,0.008706,[1]
212,8783,0.008783,[0]
213,8455,0.008455,[1]
214,8395,0.008395,[0]
215,8434,0.008434,[1]
216,8500,0.0085,[0]
217,8341,0.008341,[1]
218,8384,0.008384,[0]
219,8399,0.008399,[1]
220,8400,0.0084,[0]
