[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_075103_Davidson_Codie_80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
166,13486,0.013486,[0]
167,13582,0.013582,[1]
168,13892,0.013892,[0]
169,13876,0.013876,[1]
170,13371,0.013371,[0]
171,12799,0.012799,[1]
172,12552,0.012552,[0]
173,12562,0.012562,[1]
174,11839,0.011839,[0]
175,11538,0.011538,[1]
176,11768,0.011768,[0]
177,11407,0.011407,[1]
178,11087,0.011087,[0]
179,10792,0.010792,[1]
180,10621,0.010621,[0]
181,10607,0.010607,[1]
182,10501,0.010501,[0]
183,10298,0.010298,[1]
184,10110,0.01011,[0]
185,9990,0.00999,[1]
186,9775,0.009775,[0]
187,9843,0.009843,[1]
188,10126,0.010126,[0]
189,9765,0.009765,[1]
190,9750,0.00975,[0]
191,9570,0.00957,[1]
192,9602,0.009602,[0]
193,10096,0.010096,[1]
194,10320,0.01032,[0]
195,9848,0.009848,[1]
196,9664,0.009664,[0]
197,9752,0.009752,[1]
198,9333,0.009333,[0]
199,9182,0.009182,[1]
200,9877,0.009877,[0]
201,9709,0.009709,[1]
202,9669,0.009669,[0]
203,9471,0.009471,[1]
204,9505,0.009505,[0]
205,9532,0.009532,[1]
206,9776,0.009776,[0]
207,10012,0.010012,[1]
208,9987,0.009987,[0]
209,9818,0.009818,[1]
210,9526,0.009526,[0]
211,9734,0.009734,[1]
212,10133,0.010133,[0]
213,10306,0.010306,[1]
214,10260,0.01026,[0]
215,10308,0.010308,[1]
216,10589,0.010589,[0]
217,10255,0.010255,[1]
218,10425,0.010425,[0]
219,10878,0.010878,[1]
220,11042,0.011042,[0]
221,10970,0.01097,[1]
222,11314,0.011314,[0]
223,11410,0.01141,[1]
224,11468,0.011468,[0]
225,11405,0.011405,[1]
226,11477,0.011477,[0]
227,12075,0.012075,[1]
228,11949,0.011949,[0]
229,11827,0.011827,[1]
230,11966,0.011966,[0]
231,12215,0.012215,[1]
232,11854,0.011854,[0]
233,12719,0.012719,[1]
234,12803,0.012803,[0]
235,12431,0.012431,[1]
236,11716,0.011716,[0]
237,12465,0.012465,[1]
238,13008,0.013008,[0]
239,12730,0.01273,[1]
240,11920,0.01192,[0]
241,11540,0.01154,[1]
242,11464,0.011464,[0]
243,10991,0.010991,[1]
244,10729,0.010729,[0]
245,10702,0.010702,[1]
246,11675,0.011675,[0]
247,11586,0.011586,[1]
248,11233,0.011233,[0]
249,10942,0.010942,[1]
250,10647,0.010647,[0]
251,9886,0.009886,[1]
252,9525,0.009525,[0]
253,9544,0.009544,[1]
254,9396,0.009396,[0]
255,9272,0.009272,[1]
256,9134,0.009134,[0]
257,9741,0.009741,[1]
258,10365,0.010365,[0]
259,10009,0.010009,[1]
260,9583,0.009583,[0]
261,9412,0.009412,[1]
262,9124,0.009124,[0]
263,8928,0.008928,[1]
264,8870,0.00887,[0]
265,8891,0.008891,[1]
266,9098,0.009098,[0]
267,9068,0.009068,[1]
268,9584,0.009584,[0]
269,9425,0.009425,[1]
270,9273,0.009273,[0]
271,9189,0.009189,[1]
272,9312,0.009312,[0]
273,9160,0.00916,[1]
274,9032,0.009032,[0]
275,8810,0.00881,[1]
276,8996,0.008996,[0]
277,9481,0.009481,[1]
278,9670,0.00967,[0]
279,9483,0.009483,[1]
280,9486,0.009486,[0]
281,9569,0.009569,[1]
282,9240,0.00924,[0]
