[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_085334_Davidson_Codie_pirhana80SR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
194,9952,0.009952,[0]
195,10040,0.01004,[1]
196,9805,0.009805,[0]
197,9757,0.009757,[1]
198,10331,0.010331,[0]
199,10458,0.010458,[1]
200,10601,0.010601,[0]
201,10935,0.010935,[1]
202,11085,0.011085,[0]
203,11258,0.011258,[1]
204,11175,0.011175,[0]
205,11719,0.011719,[1]
206,11754,0.011754,[0]
207,11350,0.01135,[1]
208,11513,0.011513,[0]
209,12018,0.012018,[1]
210,12625,0.012625,[0]
211,12046,0.012046,[1]
212,12184,0.012184,[0]
213,12551,0.012551,[1]
214,12735,0.012735,[0]
215,12611,0.012611,[1]
216,12922,0.012922,[0]
217,13249,0.013249,[1]
218,12803,0.012803,[0]
219,12553,0.012553,[1]
220,12598,0.012598,[0]
221,12771,0.012771,[1]
222,12685,0.012685,[0]
223,12111,0.012111,[1]
224,11735,0.011735,[0]
225,11487,0.011487,[1]
226,10990,0.01099,[0]
227,11301,0.011301,[1]
228,11356,0.011356,[0]
229,10818,0.010818,[1]
230,10301,0.010301,[0]
231,10096,0.010096,[1]
232,10389,0.010389,[0]
233,10735,0.010735,[1]
234,10252,0.010252,[0]
235,10182,0.010182,[1]
236,10166,0.010166,[0]
237,10608,0.010608,[1]
238,10493,0.010493,[0]
239,10044,0.010044,[1]
240,9897,0.009897,[0]
241,9479,0.009479,[1]
242,9205,0.009205,[0]
243,9162,0.009162,[1]
244,8831,0.008831,[0]
245,8780,0.00878,[1]
246,9095,0.009095,[0]
247,9159,0.009159,[1]
248,9349,0.009349,[0]
249,9049,0.009049,[1]
250,9235,0.009235,[0]
251,9451,0.009451,[1]
252,9251,0.009251,[0]
253,8874,0.008874,[1]
254,8869,0.008869,[0]
255,8864,0.008864,[1]
256,8909,0.008909,[0]
257,8722,0.008722,[1]
258,8912,0.008912,[0]
259,9065,0.009065,[1]
260,8954,0.008954,[0]
261,9056,0.009056,[1]
262,9085,0.009085,[0]
263,9389,0.009389,[1]
264,9168,0.009168,[0]
265,9058,0.009058,[1]
266,9699,0.009699,[0]
267,9855,0.009855,[1]
268,10414,0.010414,[0]
269,10072,0.010072,[1]
270,10350,0.01035,[0]
271,10540,0.01054,[1]
272,10239,0.010239,[0]
273,10307,0.010307,[1]
274,10456,0.010456,[0]
275,10860,0.01086,[1]
276,10488,0.010488,[0]
277,10957,0.010957,[1]
278,11175,0.011175,[0]
279,11514,0.011514,[1]
280,11596,0.011596,[0]
281,12284,0.012284,[1]
282,12361,0.012361,[0]
283,12172,0.012172,[1]
284,11962,0.011962,[0]
285,12093,0.012093,[1]
286,12305,0.012305,[0]
287,12299,0.012299,[1]
288,12264,0.012264,[0]
289,12204,0.012204,[1]
290,12018,0.012018,[0]
291,12114,0.012114,[1]
292,11635,0.011635,[0]
293,11994,0.011994,[1]
294,12087,0.012087,[0]
295,11787,0.011787,[1]
296,11289,0.011289,[0]
297,11144,0.011144,[1]
298,10978,0.010978,[0]
299,10757,0.010757,[1]
300,10960,0.01096,[0]
301,10570,0.01057,[1]
302,10368,0.010368,[0]
303,10252,0.010252,[1]
304,9810,0.00981,[0]
305,9559,0.009559,[1]
306,9803,0.009803,[0]
307,9565,0.009565,[1]
308,9614,0.009614,[0]
309,9575,0.009575,[1]
310,9252,0.009252,[0]
311,8946,0.008946,[1]
312,8928,0.008928,[0]
313,8802,0.008802,[1]
314,8938,0.008938,[0]
315,8912,0.008912,[1]
316,8881,0.008881,[0]
317,8797,0.008797,[1]
318,9183,0.009183,[0]
319,9316,0.009316,[1]
320,9343,0.009343,[0]
321,9113,0.009113,[1]
322,8993,0.008993,[0]
323,8822,0.008822,[1]
324,8562,0.008562,[0]
325,8483,0.008483,[1]
326,8549,0.008549,[0]
327,8763,0.008763,[1]
328,8939,0.008939,[0]
329,9077,0.009077,[1]
330,9063,0.009063,[0]
331,9226,0.009226,[1]
332,8971,0.008971,[0]
333,8883,0.008883,[1]
334,8946,0.008946,[0]
335,9231,0.009231,[1]
336,9169,0.009169,[0]
337,9308,0.009308,[1]
338,9781,0.009781,[0]
339,9610,0.00961,[1]
340,9776,0.009776,[0]
341,9616,0.009616,[1]
342,9817,0.009817,[0]
343,9760,0.00976,[1]
344,10052,0.010052,[0]
345,10464,0.010464,[1]
346,10670,0.01067,[0]
347,10567,0.010567,[1]
348,10744,0.010744,[0]
349,10931,0.010931,[1]
350,10750,0.01075,[0]
351,10573,0.010573,[1]
352,10712,0.010712,[0]
353,11301,0.011301,[1]
354,11369,0.011369,[0]
355,11090,0.01109,[1]
356,11329,0.011329,[0]
357,11749,0.011749,[1]
358,11343,0.011343,[0]
359,11390,0.01139,[1]
360,11356,0.011356,[0]
361,11583,0.011583,[1]
362,11461,0.011461,[0]
363,11705,0.011705,[1]
364,12467,0.012467,[0]
365,12620,0.01262,[1]
366,11799,0.011799,[0]
367,11576,0.011576,[1]
368,11482,0.011482,[0]
369,11438,0.011438,[1]
370,11599,0.011599,[0]
371,12490,0.01249,[1]
372,12806,0.012806,[0]
373,12252,0.012252,[1]
374,11201,0.011201,[0]
375,10553,0.010553,[1]
376,10157,0.010157,[0]
377,9884,0.009884,[1]
378,9668,0.009668,[0]
379,10108,0.010108,[1]
380,10417,0.010417,[0]
381,9986,0.009986,[1]
382,9602,0.009602,[0]
383,9435,0.009435,[1]
384,8987,0.008987,[0]
385,8653,0.008653,[1]
386,8830,0.00883,[0]
387,8848,0.008848,[1]
388,9077,0.009077,[0]
389,8806,0.008806,[1]
390,8761,0.008761,[0]
391,8857,0.008857,[1]
392,8520,0.00852,[0]
393,8415,0.008415,[1]
394,8653,0.008653,[0]
395,8772,0.008772,[1]
396,8480,0.00848,[0]
397,8409,0.008409,[1]
398,8842,0.008842,[0]
399,8719,0.008719,[1]
