[APPLICATION_METADATA_BEGIN]
CaptureSoftwareApp,RXCaptureApp
CaptureSoftwareVersion,21.9.5.0
CaptureAppSport,RX_ALLSPORTS
[APPLICATION_METADATA_END]
[DEVICE_METADATA_BEGIN]
[[METADATA_BEGIN]
Owner,<Paddle Aust>
PurchaseDate,<20230112-1>
WEB,AMRSport.com
DeviceName,Hornet-2011
BuildDate,<20110101>
FirmwareVersion,190902
WheelCircumferenceMeters,0.100
EncoderPulsesPerRev,10
TimeStampEvent_EveryNEncoderPulses,2
ClockHz,1000000
CalibrationScale,0.998
[METADATA_END]
[DEVICE_METADATA_END]
[TRIAL_META_DATA_BEGIN]
Athlete,Davidson,Codie,CSLX Test
TrialDistance,100
AutoStopDistance,100
TrialFilename,20251029_075705_Davidson_Codie_MaxSR
ZeroOffsetIdx,1
[TRIAL_META_DATA_END]
[TRIAL_DATA_BEGIN]
TimeStampEvent,Ticks,Seconds
166,11105,0.011105,[0]
167,10614,0.010614,[1]
168,10164,0.010164,[0]
169,9998,0.009998,[1]
170,9665,0.009665,[0]
171,9568,0.009568,[1]
172,9301,0.009301,[0]
173,9411,0.009411,[1]
174,9425,0.009425,[0]
175,9185,0.009185,[1]
176,9150,0.00915,[0]
177,9067,0.009067,[1]
178,8993,0.008993,[0]
179,8954,0.008954,[1]
180,9115,0.009115,[0]
181,8955,0.008955,[1]
182,8752,0.008752,[0]
183,8495,0.008495,[1]
184,8508,0.008508,[0]
185,8404,0.008404,[1]
186,8376,0.008376,[0]
187,8475,0.008475,[1]
188,8869,0.008869,[0]
189,8985,0.008985,[1]
190,8857,0.008857,[0]
191,8824,0.008824,[1]
192,8774,0.008774,[0]
193,8939,0.008939,[1]
194,8906,0.008906,[0]
195,8987,0.008987,[1]
196,9295,0.009295,[0]
197,9259,0.009259,[1]
198,9193,0.009193,[0]
199,9496,0.009496,[1]
200,9830,0.00983,[0]
201,9580,0.00958,[1]
202,9807,0.009807,[0]
203,9815,0.009815,[1]
204,9924,0.009924,[0]
205,10052,0.010052,[1]
206,10455,0.010455,[0]
207,11056,0.011056,[1]
208,11184,0.011184,[0]
209,11044,0.011044,[1]
210,10937,0.010937,[0]
211,11148,0.011148,[1]
212,11392,0.011392,[0]
213,11430,0.01143,[1]
214,11733,0.011733,[0]
215,12078,0.012078,[1]
216,12514,0.012514,[0]
217,12470,0.01247,[1]
218,12021,0.012021,[0]
219,11843,0.011843,[1]
220,11641,0.011641,[0]
221,11248,0.011248,[1]
222,11248,0.011248,[0]
223,10929,0.010929,[1]
224,10834,0.010834,[0]
225,10903,0.010903,[1]
226,11059,0.011059,[0]
227,10438,0.010438,[1]
228,9960,0.00996,[0]
229,9493,0.009493,[1]
230,9469,0.009469,[0]
231,9313,0.009313,[1]
